ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
185,634 GRAFTON,WORCESTER,,12/15/14,3
186,636 GRAFTON,WORCESTER,,12/15/14,3
187,981 GRAFTON,WORCESTER,,12/15/14,3
188,994-1000 GRAFTON,WORCESTER,,12/15/14,3
189,GRAFTON,WORCESTER,,12/15/14,3
190,HAMILTON,WORCESTER,@ ALMONT AVE,12/15/14,3
191,HOLDEN,WORCESTER,,12/15/14,3
192,5 RANDOLPH,WORCESTER,,12/15/14,3
193,SUNDERLAND,WORCESTER,,12/15/14,3
194,18 WESTBOROUGH,WORCESTER,,12/15/14,3
195,WESTBOROUGH,WORCESTER,@ ROUTE 20,12/15/14,3
196,45 FRANCIS,CAMBRIDGE,,12/12/14,3
197,106 HANCOCK,CAMBRIDGE,,12/12/14,3
198,20 HOLDEN,CAMBRIDGE,,12/12/14,3
199,1493 RIVER,HYDE PARK,,12/12/14,2
200,1608 RIVER,HYDE PARK,,12/12/14,3
201,970 RIVER,HYDE PARK,,12/12/14,3
202,4 FARNUM,WORCESTER,,12/12/14,3
203,11 FIRGLADE,WORCESTER,,12/12/14,3
204,102-108 GROVE,WORCESTER,,12/12/14,3
205,150 GROVE,WORCESTER,,12/12/14,3
206,691 GROVE,WORCESTER,,12/12/14,3
207,730 GROVE,WORCESTER,,12/12/14,3
208,GROVE,WORCESTER,,12/12/14,3
209,GROVE,WORCESTER,,12/12/14,3
210,OPP 41 HOOPER,WORCESTER,,12/12/14,3
211,LAUREL,WORCESTER,,12/12/14,3
212,LAUREL,WORCESTER,,12/12/14,3
213,MASSASOIT,WORCESTER,@ BRIERWAY DR,12/12/14,3
214,214 WEATHERSTONE,WORCESTER,,12/12/14,3
215,209 BROADWAY,CAMBRIDGE,,12/11/14,3
216,232 BROADWAY,CAMBRIDGE,,12/11/14,3
217,235-237 BROADWAY,CAMBRIDGE,,12/11/14,3
218,BROADWAY,CAMBRIDGE,,12/11/14,3
219,BROADWAY,CAMBRIDGE,,12/11/14,3
220,HOLDEN,SHREWSBURY,,12/11/14,3
221,HOLDEN,SHREWSBURY,,12/11/14,3
222,55 HARTLEY,STOW,,12/11/14,3
223,HARLEM,WORCESTER,@ PERRY AVE,12/11/14,3
224,19 HAYNES,WORCESTER,,12/11/14,3
225,10 KENDIG,WORCESTER,,12/11/14,3
226,23 KING,WORCESTER,,12/11/14,3
227,100 LAMARTINE,WORCESTER,,12/11/14,3
228,LAMARTINE,WORCESTER,,12/11/14,3
229,17 LANTERN,WORCESTER,,12/11/14,3
230,1-3 LAUREL BROOK,WORCESTER,,12/11/14,3
231,26 LAURIER,WORCESTER,,12/11/14,3
232,617 LINCOLN,WORCESTER,,12/11/14,3
233,108 LONGFELLOW,WORCESTER,,12/11/14,3
234,70 LONGFELLOW,WORCESTER,,12/11/14,3
235,98 LONGFELLOW,WORCESTER,,12/11/14,3
236,31 MAIN,WORCESTER,@ DOWNING ST,12/11/14,3
237,TYLER PRENTICE,WORCESTER,,12/11/14,3
238,297 BROADWAY,CAMBRIDGE,,12/10/14,3
239,BROADWAY,CAMBRIDGE,,12/10/14,3
240,BROADWAY,CAMBRIDGE,,12/10/14,3
241,518 PLEASANT,FRAMINGHAM,,12/10/14,3
242,85-93 SPRING,MARLBORO,,12/10/14,3
243,47 ELM,SHREWSBURY,,12/10/14,3
244,125 ENDICOTT,WORCESTER,,12/10/14,3
245,FOX,WORCESTER,,12/10/14,3
246,36 HANCOCK HILL,WORCESTER,,12/10/14,3
247,5 HANCOCK HILL,WORCESTER,,12/10/14,3
248,144 HEYWOOD,WORCESTER,,12/10/14,3
249,HIGH,WORCESTER,,12/10/14,3
250,OPP 82 IDALLA,WORCESTER,,12/10/14,3
251,1 JACKSON,WORCESTER,,12/10/14,3
252,106 KENBERMA,WORCESTER,,12/10/14,3
253,136 KENBERMA,WORCESTER,,12/10/14,3
254,80 KENBERMA,WORCESTER,,12/10/14,3
255,82 KENBERMA,WORCESTER,,12/10/14,3
256,94-96 KENBERMA,WORCESTER,,12/10/14,3
257,LANCASTER,WORCESTER,,12/10/14,3
258,552 MILL,WORCESTER,,12/10/14,3
259,1000 MASSACHUSETTS,CAMBRIDGE,,12/9/14,3
260,MASSACHUSETTS,CAMBRIDGE,,12/9/14,3
261,MASSACHUSETTS,CAMBRIDGE,,12/9/14,3
262,MASSACHUSETTS,CAMBRIDGE,,12/9/14,3
263,MASSACHUSETTS,CAMBRIDGE,,12/9/14,3
264,102-104 PEARL,CAMBRIDGE,,12/9/14,3
265,144 PROSPECT,CAMBRIDGE,,12/9/14,3
266,CLARKE,MARLBORO,,12/9/14,3
267,674 CONCORD,MARLBORO,,12/9/14,3
268,53 EVELINA,MARLBORO,,12/9/14,3
269,123 FELTON,MARLBORO,,12/9/14,3
270,HUDSON,MARLBORO,,12/9/14,3
271,24 MAPLEWOOD,MARLBORO,,12/9/14,3
272,18 SANDINI,MARLBORO,,12/9/14,3
273,123 WEST BOSTON POST,MARLBORO,,12/9/14,3
274,46 HOUSATONIC,WORCESTER,,12/9/14,3
275,27 IVERNIA,WORCESTER,,12/9/14,3
276,IVERNIA,WORCESTER,,12/9/14,3
277,OPP 33 JEFFERSON,WORCESTER,,12/9/14,3
278,443 LAKE,WORCESTER,,12/9/14,3
279,LAKE,WORCESTER,,12/9/14,3
280,LAKE,WORCESTER,,12/9/14,3
281,LAKE,WORCESTER,,12/9/14,3
282,245 HAMPSHIRE,CAMBRIDGE,,12/8/14,3
283,HAMPSHIRE,CAMBRIDGE,,12/8/14,3
284,HAMPSHIRE,CAMBRIDGE,,12/8/14,3
285,55-57 ARSENAL,FRAMINGHAM,,12/8/14,3
286,5 AUBURN,FRAMINGHAM,,12/8/14,3
287,77 BARBER,FRAMINGHAM,,12/8/14,3
288,CURRIER,FRAMINGHAM,,12/8/14,3
289,EDWARDS,FRAMINGHAM,,12/8/14,3
290,15 FAIRBANKS,FRAMINGHAM,,12/8/14,3
291,7 FAIRFIELD,FRAMINGHAM,,12/8/14,3
292,23 FOSTER,FRAMINGHAM,,12/8/14,3
293,14 GORDON,FRAMINGHAM,,12/8/14,3
294,5 HASTINGS,FRAMINGHAM,,12/8/14,3
295,6 HASTINGS,FRAMINGHAM,,12/8/14,3
296,60 HASTINGS,FRAMINGHAM,,12/8/14,3
297,8 HASTINGS,FRAMINGHAM,,12/8/14,3
298,214 WATER,FRAMINGHAM,,12/8/14,3
299,51 LINCOLN,HYDE PARK,,12/8/14,3
300,14 LODGEHILL,HYDE PARK,,12/8/14,3
301,17 LODGEHILL,HYDE PARK,,12/8/14,3
302,5 LODGEHILL,HYDE PARK,,12/8/14,3
303,7-9 LODGEHILL,HYDE PARK,,12/8/14,3
304,LODGEHILL,HYDE PARK,,12/8/14,3
305,57 BLANCHETTE,MARLBORO,,12/8/14,3
306,134 ELM,MARLBORO,,12/8/14,3
307,FAIRHAVEN,MATTAPOISETT,,12/8/14,3
308,1 PERCIVAL,MAYNARD,,12/8/14,3
309,538 HARTFORD,SHREWSBURY,,12/8/14,3
310,FENWICK,WORCESTER,,12/8/14,3
311,121 ILLINOIS,WORCESTER,,12/8/14,3
312,ILLINOIS,WORCESTER,,12/8/14,3
313,2B KNOX,WORCESTER,,12/8/14,3
314,60 LOXWOOD,WORCESTER,,12/8/14,3
315,69 LOXWOOD,WORCESTER,,12/8/14,3
316,101-103 LUDLOW,WORCESTER,,12/8/14,3
317,31 LUDLOW,WORCESTER,,12/8/14,3
318,OPP 44 LUDLOW,WORCESTER,,12/8/14,3
319,LUDLOW,WORCESTER,,12/8/14,3
320,LYMAN,WORCESTER,,12/8/14,3
321,1480-1482 CAMBRIDGE,CAMBRIDGE,,12/5/14,3
322,50 FRESH POND,CAMBRIDGE,,12/5/14,3
323,66 FRESH POND,CAMBRIDGE,,12/5/14,3
324,81 FRESH POND,CAMBRIDGE,,12/5/14,3
325,87 FRESH POND,CAMBRIDGE,,12/5/14,3
326,99 FRESH POND,CAMBRIDGE,,12/5/14,3
327,8 CATON,HYDE PARK,,12/5/14,3
328,3 FORTUNE,MILFORD,,12/5/14,3
329,16 HENDERSON,NEEDHAM,,12/5/14,3
330,362 MANNING,NEEDHAM,,12/5/14,3
331,52 MAYO,NEEDHAM,,12/5/14,3
332,233 NEHOIDEN,NEEDHAM,,12/5/14,3
333,65 YALE,NEEDHAM,,12/5/14,3
334,134 SOUTH SECOND,NEW BEDFORD,,12/5/14,3
335,ELIZABETH,WORCESTER,,12/5/14,3
336,ELLIOTT,WORCESTER,,12/5/14,3
337,116 FARRAR,WORCESTER,,12/5/14,3
338,98 HEYWOOD,WORCESTER,,12/5/14,3
339,123 JUNE,WORCESTER,,12/5/14,3
340,126 JUNE,WORCESTER,,12/5/14,3
341,182 JUNE,WORCESTER,,12/5/14,3
342,244 JUNE,WORCESTER,,12/5/14,3
343,250 JUNE,WORCESTER,,12/5/14,3
344,253 JUNE,WORCESTER,,12/5/14,3
345,370 JUNE,WORCESTER,,12/5/14,3
346,90 KENBERMA,WORCESTER,,12/5/14,3
347,MASSASOIT,WORCESTER,,12/5/14,3
348,35 MERRIFIELD,WORCESTER,,12/5/14,3
349,PROVIDENCE,WORCESTER,@ DOANNE ST,12/5/14,3
350,16 WABASH,WORCESTER,,12/5/14,3
351,20 WABASH,WORCESTER,,12/5/14,3
352,1663 CAMBRIDGE,CAMBRIDGE,,12/4/14,3
353,CAMBRIDGE,CAMBRIDGE,,12/4/14,3
354,266 MASSACHUSETTS,CAMBRIDGE,,12/4/14,3
355,84 MASSACHUSETTS,CAMBRIDGE,,12/4/14,3
356,410 MEMORIAL,CAMBRIDGE,,12/4/14,3
357,4 LAWTON,HYDE PARK,,12/4/14,3
358,5 LAWTON,HYDE PARK,,12/4/14,3
359,4 LEWISTON,HYDE PARK,,12/4/14,3
360,61 LEXINGTON,HYDE PARK,,12/4/14,3
361,165 PACKARD,MEDFORD,,12/4/14,3
362,247 MANNING,NEEDHAM,,12/4/14,3
363,52 MANNING,NEEDHAM,,12/4/14,3
364,MANNING,NEEDHAM,,12/4/14,3
365,454 WEBSTER,NEEDHAM,,12/4/14,3
366,59 WEBSTER,NEEDHAM,,12/4/14,3
367,95 WEBSTER,NEEDHAM,,12/4/14,3
368,337 WEST,NEEDHAM,,12/4/14,3
369,97 EPWORTH,WORCESTER,,12/4/14,3
370,1 GUILD,WORCESTER,,12/4/14,3
371,6 GUILD,WORCESTER,,12/4/14,3
372,5 HAVELOCK,WORCESTER,,12/4/14,3
373,67 HENSHAW,WORCESTER,,12/4/14,3
374,91 HOUGHTON,WORCESTER,,12/4/14,3
375,24 MARION,WORCESTER,,12/4/14,3
376,25 MARION,WORCESTER,,12/4/14,3
377,25 MARION,WORCESTER,,12/4/14,3
378,21 MERRICK,WORCESTER,,12/4/14,3
379,36 MORELAND,WORCESTER,,12/4/14,3
380,52 MORELAND,WORCESTER,,12/4/14,3
381,PARK TERRACE,WORCESTER,@ HEYWOOD ST,12/4/14,3
382,PROVIDENCE,WORCESTER,@ UNION PL,12/4/14,3
383,SOUTHBRIDGE,WORCESTER,,12/4/14,3
384,81 SUMMER,WORCESTER,,12/4/14,3
385,781 MAIN,CAMBRIDGE,,12/3/14,3
386,875 MAIN,CAMBRIDGE,,12/3/14,3
387,165 FOREST,MARLBORO,,12/3/14,3
388,219 FOREST,MARLBORO,,12/3/14,3
389,14 ELLICOTT,NEEDHAM,,12/3/14,3
390,1200 GREAT PLAIN,NEEDHAM,,12/3/14,3
391,1306 GREAT PLAIN,NEEDHAM,,12/3/14,3
392,GREAT PLAIN,NEEDHAM,,12/3/14,3
393,203 LINDBERGH,NEEDHAM,,12/3/14,3
394,17 ROSEMARY,NEEDHAM,,12/3/14,3
395,31 ROSEMARY,NEEDHAM,,12/3/14,3
396,57 ROSEMARY,NEEDHAM,,12/3/14,3
397,65 ROSEMARY,NEEDHAM,,12/3/14,3
398,9-11 TILLOTSON,NEEDHAM,,12/3/14,3
399,44 WASHINGTON,SHREWSBURY,,12/3/14,3
400,25 DUXBURY,WORCESTER,,12/3/14,3
401,66 EUNICE,WORCESTER,,12/3/14,3
402,10 GOLDTHWAITE,WORCESTER,,12/3/14,3
403,22 GOLDTHWAITE,WORCESTER,,12/3/14,3
404,GOLDTHWAITE,WORCESTER,,12/3/14,3
405,GREEN HILL,WORCESTER,,12/3/14,3
406,347 GREENWOOD,WORCESTER,,12/3/14,3
407,348 GREENWOOD,WORCESTER,,12/3/14,3
408,15 MERTON,WORCESTER,,12/3/14,3
409,41 MINTHORNE,WORCESTER,,12/3/14,3
410,22 MOTT,WORCESTER,,12/3/14,3
411,799 CONCORD,CAMBRIDGE,,12/2/14,3
412,367 HARVARD,CAMBRIDGE,,12/2/14,3
