TOWN,STATE,ADDRESS,INTERSECTING STREET,DATE REPAIRED,LEAK GRADE,NOTE
CAMBRIDGE,MA,1924 MASSACHUSETTS,,3/30/2016,2,
CAMBRIDGE,MA,193-195 HAMPSHIRE,,3/12/2016,2,
CAMBRIDGE,MA,194 SHERMAN,,8/21/2016,1,
CAMBRIDGE,MA,1975 MASSACHUSETTS,,11/3/2016,1,
CAMBRIDGE,MA,2 RIEDESEL,,7/6/2016,2,
CAMBRIDGE,MA,20 ELIOT,,11/7/2016,1,
CAMBRIDGE,MA,20 WARE,,10/31/2016,1,
CAMBRIDGE,MA,20-22 SEVEN PINES,,12/28/2016,2,
CAMBRIDGE,MA,2029 MASSACHUSETTS,,11/10/2016,2,
CAMBRIDGE,MA,21 BAY,,2/22/2016,1,
CAMBRIDGE,MA,21 BOWDOIN,,1/26/2016,2,
CAMBRIDGE,MA,22 WINTER,,6/29/2016,2,
CAMBRIDGE,MA,22-24 CONCORD,,8/29/2016,1,
CAMBRIDGE,MA,221 CONCORD,,7/15/2016,1,
CAMBRIDGE,MA,2265 MASSACHUSETTS,,5/3/2016,1,
CAMBRIDGE,MA,23 BAY STATE,,1/6/2016,2,
CAMBRIDGE,MA,2387 MASSACHUSETTS,,2/25/2016,1,
CAMBRIDGE,MA,249 LAKEVIEW,,4/1/2016,2,
CAMBRIDGE,MA,25 CARLETON,,11/30/2016,2,
CAMBRIDGE,MA,25 FIRST,,6/28/2016,1,
CAMBRIDGE,MA,25 LINNAEAN,,12/23/2016,1,
CAMBRIDGE,MA,25 ROCKINGHAM,,10/12/2016,1,
CAMBRIDGE,MA,250 GARDEN,,3/9/2016,1,
CAMBRIDGE,MA,250 MAIN,,1/27/2016,1,
CAMBRIDGE,MA,2510 MASSACHUSETTS,,11/14/2016,2,
CAMBRIDGE,MA,26 CENTRAL,,1/7/2016,1,
CAMBRIDGE,MA,26-28 ROYAL,,6/3/2016,1,
CAMBRIDGE,MA,287 HURON,,10/12/2016,1,
CAMBRIDGE,MA,3 BERKELEY,,11/26/2016,2,
CAMBRIDGE,MA,300 MASSACHUSETTS,,1/26/2016,1,
CAMBRIDGE,MA,301 HURON,,10/12/2016,1,
CAMBRIDGE,MA,301 THIRD,,12/19/2016,2,
CAMBRIDGE,MA,31 BUENA VISTA,,10/17/2016,2,
CAMBRIDGE,MA,323-325 CONCORD,,2/2/2016,2,
CAMBRIDGE,MA,33 KIRKLAND,,11/22/2016,2,
CAMBRIDGE,MA,331 CONCORD,,6/27/2016,1,
CAMBRIDGE,MA,34 LOOMIS,,10/11/2016,1,
CAMBRIDGE,MA,34 LOOMIS,,10/12/2016,1,
CAMBRIDGE,MA,35 BUENA VISTA,,11/28/2016,2,
CAMBRIDGE,MA,35 MELLEN,,7/20/2016,1,
CAMBRIDGE,MA,36 CONCORD,,9/28/2016,2,
CAMBRIDGE,MA,38 OAK,,6/19/2016,2,
CAMBRIDGE,MA,39-41 INMAN,,3/10/2016,2,
CAMBRIDGE,MA,396 RINDGE,,2/16/2016,1,
CAMBRIDGE,MA,396 RINDGE,,3/14/2016,2,
CAMBRIDGE,MA,400 MOUNT AUBURN,,11/19/2016,2,
CAMBRIDGE,MA,41 GIBSON,,6/27/2016,1,
CAMBRIDGE,MA,410 WALDEN,,11/28/2016,1,
CAMBRIDGE,MA,419 BROADWAY,,11/7/2016,1,
CAMBRIDGE,MA,42 GARDEN,,7/13/2016,1,
CAMBRIDGE,MA,42B LINNAEAN,,12/19/2016,2,
CAMBRIDGE,MA,437 CARDINAL MEDEIROS,,1/27/2016,1,
CAMBRIDGE,MA,44 KIRKLAND,,11/23/2016,2,
CAMBRIDGE,MA,442 BROADWAY,,9/28/2016,2,
CAMBRIDGE,MA,44R MARKET,,11/17/2016,1,
CAMBRIDGE,MA,45 FRANCIS,,12/9/2016,1,
CAMBRIDGE,MA,49 BELMONT,,9/30/2016,1,
CAMBRIDGE,MA,495 MOUNT AUBURN,,5/23/2016,2,
CAMBRIDGE,MA,5 RIVER,,12/7/2016,2,
CAMBRIDGE,MA,5 WYMAN,,2/18/2016,1,
CAMBRIDGE,MA,52 FOSTER,,8/13/2016,2,
CAMBRIDGE,MA,52-56 SIXTH,,11/5/2016,1,
CAMBRIDGE,MA,54 HIGHLAND,,7/25/2016,1,
CAMBRIDGE,MA,55 SIXTH,,11/1/2016,1,
CAMBRIDGE,MA,55 WHEELER,,12/20/2016,2,
CAMBRIDGE,MA,57-59 SIXTH,,7/26/2016,1,
CAMBRIDGE,MA,572 PUTNAM,,12/14/2016,1,
CAMBRIDGE,MA,583 MOUNT AUBURN,,11/19/2016,2,
CAMBRIDGE,MA,59 HAMPSHIRE,,1/11/2016,1,
CAMBRIDGE,MA,6 BIGELOW,,10/20/2016,2,
CAMBRIDGE,MA,612 HURON,,12/3/2016,2,
CAMBRIDGE,MA,62 COOLIDGE HILL,,7/11/2016,1,
CAMBRIDGE,MA,67 BAY STATE,,2/19/2016,2,
CAMBRIDGE,MA,70 PROSPECT,,11/1/2016,1,
CAMBRIDGE,MA,71 WINTER,,3/7/2016,2,
CAMBRIDGE,MA,71-73 GORE,,12/1/2016,2,
CAMBRIDGE,MA,73 TREMONT,,12/28/2016,2,
CAMBRIDGE,MA,74 RESERVOIR,,10/27/2016,1,
CAMBRIDGE,MA,745 SOMERVILLE,,12/2/2016,2,
CAMBRIDGE,MA,784 MAIN,,3/18/2016,2,
CAMBRIDGE,MA,796 MAIN,,11/17/2016,2,
CAMBRIDGE,MA,81 FRESH POND,,12/2/2016,2,
CAMBRIDGE,MA,810 MAIN,,11/2/2016,2,
CAMBRIDGE,MA,853-861 MAIN,,2/9/2016,1,
CAMBRIDGE,MA,853-861 MAIN,,2/10/2016,2,
CAMBRIDGE,MA,859 MASSACHUSETTS,,2/4/2016,2,
CAMBRIDGE,MA,88 PEARL,,1/8/2016,2,
CAMBRIDGE,MA,88 SPARKS,,11/22/2016,1,
CAMBRIDGE,MA,90 HANCOCK,,7/14/2016,1,
CAMBRIDGE,MA,94 OXFORD,,9/9/2016,1,
CAMBRIDGE,MA,99 FRESH POND,,12/7/2016,2,
CAMBRIDGE,MA,99 HANCOCK,,12/22/2016,2,
CAMBRIDGE,MA,99 IRVING,,8/25/2016,2,
CARVER,MA,114 CENTER,,5/13/2016,2,
CARVER,MA,13 RANSOM,,4/28/2016,1,
CARVER,MA,15 EDGEWOOD,,3/2/2016,2,
CARVER,MA,157 PLYMOUTH,,11/9/2016,1,
