TOWN,STATE,ADDRESS,INTERSECTING STREET,DATE REPAIRED,LEAK GRADE,NOTE
HYDE PARK,MA,76 COMO,,12/16/2016,1,
HYDE PARK,MA,79 COMO,,2/4/2016,2,
HYDE PARK,MA,79 COMO,,12/16/2016,2,
HYDE PARK,MA,80 BRADLEE,,2/1/2016,2,
HYDE PARK,MA,80 SMITH,,8/30/2016,1,
HYDE PARK,MA,82 LEWISTON,,2/16/2016,2,
HYDE PARK,MA,83 COMO,,8/16/2016,2,
HYDE PARK,MA,84 TACOMA,,10/17/2016,2,
HYDE PARK,MA,85 AUSTIN,,8/5/2016,1,
HYDE PARK,MA,85 FARADAY,,11/29/2016,2,
HYDE PARK,MA,89 READVILLE,,4/29/2016,1,
HYDE PARK,MA,89 READVILLE,,6/13/2016,1,
HYDE PARK,MA,892 RIVER,,1/18/2016,2,
HYDE PARK,MA,9 LORING,,11/1/2016,2,
HYDE PARK,MA,9 RAYNES,,12/3/2016,2,
HYDE PARK,MA,9 WASHINGTON,,9/28/2016,2,
HYDE PARK,MA,92 DALE,,1/11/2016,2,
HYDE PARK,MA,92 SUNNYSIDE,,11/9/2016,2,
HYDE PARK,MA,93 FARADAY,,9/14/2016,2,
HYDE PARK,MA,98 SUNNYSIDE,,6/2/2016,1,
KINGSTON,MA,13 LAKE,,8/22/2016,1,
KINGSTON,MA,214 MAIN,,12/21/2016,1,
KINGSTON,MA,4 WESTERLY,,6/8/2016,2,
MARION,MA,12 PARK,,8/12/2016,2,
MARION,MA,16 COTTAGE,,2/22/2016,1,
MARION,MA,56 LEWIS,,8/5/2016,1,
MARION,MA,707 MILL,,3/8/2016,1,
MARION,MA,72 WATER,,9/14/2016,2,
MARION,MA,81 WATER,,3/29/2016,2,
MARION,MA,99 MAIN,,10/3/2016,1,
MARLBORO,MA,1 PRISCILLA,,7/19/2016,1,
MARLBORO,MA,108 APPLEWOOD,,3/7/2016,1,
MARLBORO,MA,1200 AVALON,,7/27/2016,1,
MARLBORO,MA,13 GREENDALE,,12/28/2016,1,
MARLBORO,MA,13 MAPLE,,11/21/2016,2,
MARLBORO,MA,130 EDINBORO,,1/27/2016,2,
MARLBORO,MA,138 PLEASANT,,11/22/2016,2,
MARLBORO,MA,15 ASHLEY,,8/15/2016,2,
MARLBORO,MA,15 CETRINA,,10/9/2016,1,
MARLBORO,MA,155 PLEASANT,,8/23/2016,1,
MARLBORO,MA,16 CLARKE,,4/28/2016,1,
MARLBORO,MA,16 DIRADO,,11/28/2016,2,
MARLBORO,MA,164 HOSMER,,11/22/2016,2,
MARLBORO,MA,165 AMES,,9/23/2016,1,
MARLBORO,MA,17 WILSON,,10/22/2016,1,
MARLBORO,MA,170 FOREST,,4/19/2016,1,
MARLBORO,MA,172 HOSMER,,8/1/2016,2,
MARLBORO,MA,176 MAPLE,,11/21/2016,3,
MARLBORO,MA,18 LINCOLN,,10/3/2016,1,
MARLBORO,MA,19 BROWN,,5/16/2016,1,
MARLBORO,MA,209 VEGA,,10/5/2016,2,
MARLBORO,MA,209 VEGA,,10/5/2016,2,
MARLBORO,MA,219 EAST MAIN,,2/4/2016,2,
MARLBORO,MA,22 MILDON,,7/29/2016,1,
MARLBORO,MA,230 HUDSON,,11/19/2016,2,
MARLBORO,MA,236 BOLTON,,1/28/2016,1,
MARLBORO,MA,24 LINDA,,7/14/2016,2,
MARLBORO,MA,242 HUDSON,,5/25/2016,2,
MARLBORO,MA,26 WILSON,,8/19/2016,2,
MARLBORO,MA,28 WILSON,,8/24/2016,2,
MARLBORO,MA,291 HOSMER,,3/14/2016,1,
MARLBORO,MA,307 ELM,,3/4/2016,2,
MARLBORO,MA,32 PLEASANT,,1/26/2016,2,
MARLBORO,MA,330 EAST BOSTON POST,,10/26/2016,1,
MARLBORO,MA,344 EAST BOSTON POST,,1/4/2016,2,
MARLBORO,MA,35 EVELINA,,10/22/2016,2,
MARLBORO,MA,35 HOUDE,,10/14/2016,1,
MARLBORO,MA,358-370 BOLTON,,12/1/2016,2,
MARLBORO,MA,36 AMES,,5/3/2016,1,
MARLBORO,MA,36 EVELINA,,10/22/2016,2,
MARLBORO,MA,40 HAYES MEMORIAL,,9/10/2016,1,
MARLBORO,MA,40 HAYES MEMORIAL,,11/7/2016,2,
MARLBORO,MA,400 DONALD J LYNCH,,5/12/2016,1,
MARLBORO,MA,428 MAPLE,,9/14/2016,2,
MARLBORO,MA,48 RICE,,2/22/2016,2,
MARLBORO,MA,54 CHANDLER,,3/8/2016,2,
MARLBORO,MA,54 HOSMER,,4/22/2016,2,
MARLBORO,MA,561 HOSMER,,6/15/2016,1,
MARLBORO,MA,618 SUDBURY,,10/13/2016,2,
MARLBORO,MA,68 CHANDLER,,11/26/2016,2,
MARLBORO,MA,70 SLOCUMB,,3/29/2016,1,
MARLBORO,MA,72 MARLTON,,9/14/2016,2,
MARLBORO,MA,777 ELM,,9/16/2016,2,
MARLBORO,MA,786 HEMENWAY,,12/1/2016,1,
MARLBORO,MA,89 NEIL,,2/4/2016,2,
MARLBORO,MA,9 GREENDALE,,11/25/2016,2,
MARLBORO,MA,90 STATE,,4/5/2016,2,
MARLBORO,MA,98 SANDINI,,9/22/2016,2,
MARLBORO,MA,98 SANDINI,,11/16/2016,2,
MARLBORO,MA,LOT #6 BEMIS,,8/16/2016,1,
MARLBORO,MA,UNIT 50 ICE HOUSE,,11/18/2016,1,
MATTAPOISETT,MA,13 CATHAWAY,,6/26/2016,1,
MATTAPOISETT,MA,13 RIVER,,1/27/2016,1,
MATTAPOISETT,MA,148 FAIRHAVEN,,1/22/2016,1,
MATTAPOISETT,MA,27 COUNTY,,3/2/2016,1,
MATTAPOISETT,MA,3 LEBARON,,2/18/2016,2,
MATTAPOISETT,MA,30 PEARL,,5/27/2016,2,
MATTAPOISETT,MA,4 EDGEWOOD,,3/26/2016,2,
MATTAPOISETT,MA,4 SHIP,,11/28/2016,1,
MATTAPOISETT,MA,6 AUCOOT,,12/29/2016,1,
MATTAPOISETT,MA,62 FAIRHAVEN,,8/25/2016,1,
MATTAPOISETT,MA,65 NORTH,,1/3/2016,1,
MATTAPOISETT,MA,67 NORTH,,1/12/2016,2,
MATTAPOISETT,MA,7 EDGEWOOD,,2/12/2016,2,
MATTAPOISETT,MA,87 NORTH,,9/9/2016,1,
MAYNARD,MA,11 SHERMAN,,12/22/2016,2,
MAYNARD,MA,17 PARKER,,6/22/2016,2,
MAYNARD,MA,17 PARKER,,6/22/2016,2,
MAYNARD,MA,2 HIGH,,10/4/2016,1,
MAYNARD,MA,2-4 WALCOTT,,8/25/2016,2,
MAYNARD,MA,22 HARRISON,,1/19/2016,2,
MAYNARD,MA,24-26 BUTLER,,2/23/2016,2,
MAYNARD,MA,27 MCKINLEY,,1/16/2016,1,
MAYNARD,MA,3 RANDALL,,12/4/2016,2,
MAYNARD,MA,33 THOMPSON,,12/22/2016,1,
MAYNARD,MA,35 THOMPSON,,1/12/2016,2,
MAYNARD,MA,4 REO,,6/10/2016,2,
MAYNARD,MA,4-6 BROOKS,,2/10/2016,1,
MAYNARD,MA,50 BUTLER,,11/30/2016,1,
MAYNARD,MA,50 BUTLER,,12/6/2016,2,
MAYNARD,MA,6 MAYFIELD,,12/21/2016,1,
MAYNARD,MA,62 ACTON,,7/5/2016,1,
MAYNARD,MA,64 PARKER,,3/4/2016,1,
MAYNARD,MA,72 POWDER MILL,,3/8/2016,2,
MAYNARD,MA,72 POWDER MILL,,10/3/2016,2,
MAYNARD,MA,73 POWDER MILL,,10/19/2016,2,
MAYNARD,MA,73 WALTHAM,,1/7/2016,2,
MAYNARD,MA,8 SUDBURY,,10/22/2016,2,
MILFORD,MA,11 WESTBROOK,,2/1/2016,1,
MILFORD,MA,12 WALNUT,,11/3/2016,2,
MILFORD,MA,13D COUNTRY CLUB,,10/24/2016,2,
MILFORD,MA,15 MADDEN,,12/14/2016,1,
MILFORD,MA,155 FORTUNE,,3/30/2016,1,
MILFORD,MA,16 DEPOT,,9/24/2016,2,
MILFORD,MA,16 DEPOT,,10/22/2016,1,
MILFORD,MA,16 HARVARD,,8/18/2016,2,
MILFORD,MA,19 GLINES,,11/4/2016,2,
MILFORD,MA,19 JIONZO,,5/9/2016,2,
MILFORD,MA,19 SALVIA,,2/9/2016,2,
MILFORD,MA,2 COOLIDGE,,5/10/2016,2,
MILFORD,MA,2 FRUIT,,2/29/2016,2,
MILFORD,MA,20-22 GLINES,,11/4/2016,2,
MILFORD,MA,20-22 PLAIN,,2/23/2016,1,
MILFORD,MA,201 MAIN,,9/3/2016,1,
MILFORD,MA,21 COOLIDGE,,12/9/2016,2,
MILFORD,MA,21 MAIN,,2/4/2016,2,
MILFORD,MA,22 YALE,,1/15/2016,2,
MILFORD,MA,23 ARIS,,10/17/2016,1,
MILFORD,MA,24 SHORT,,10/30/2016,1,
MILFORD,MA,25 MADDEN,,3/9/2016,1,
MILFORD,MA,26 GRANT,,11/3/2016,1,
MILFORD,MA,26 WEST,,11/14/2016,2,
MILFORD,MA,27 NORTH VINE,,3/31/2016,1,
MILFORD,MA,28 JEFFERSON,,1/19/2016,2,
MILFORD,MA,28 WEST,,12/2/2016,2,
MILFORD,MA,28 WEST,,12/6/2016,2,
MILFORD,MA,29 FRUIT,,9/10/2016,2,
MILFORD,MA,29 FRUIT,,11/8/2016,2,
MILFORD,MA,3 FORTUNE,,1/27/2016,2,
MILFORD,MA,30 LEONARD,,10/6/2016,1,
MILFORD,MA,31 GRANT,,8/22/2016,1,
MILFORD,MA,31 LEONARD,,7/29/2016,1,
MILFORD,MA,34 HARVARD,,1/20/2016,2,
MILFORD,MA,37 EMMONS,,10/7/2016,1,
MILFORD,MA,46 CHESTNUT,,11/26/2016,2,
MILFORD,MA,50 MEDWAY,,2/24/2016,2,
MILFORD,MA,57 SOUTH MAIN,,4/20/2016,1,
MILFORD,MA,59 SOUTH MAIN,,12/15/2016,2,
MILFORD,MA,6 TRINITY,,10/28/2016,1,
MILFORD,MA,7 ELIZABETH,,12/9/2016,2,
MILFORD,MA,72 CONGRESS,,10/12/2016,1,
MILFORD,MA,93 WATER,,6/6/2016,1,
MILFORD,MA,93 WATER,,6/29/2016,2,
MILFORD,MA,98 WEST,,12/1/2016,2,
MILLBURY,MA,1488 GRAFTON,,10/28/2016,2,
MILLBURY,MA,1 CANAL,,11/28/2016,3,
MILLBURY,MA,11 THOMAS HILL,,5/18/2016,2,
MILLBURY,MA,142 NORTH MAIN,,6/27/2016,2,
MILLBURY,MA,173 MILLBURY,,12/13/2016,2,
MILLBURY,MA,177 WEST MAIN,,11/7/2016,2,
MILLBURY,MA,19 CAPTAIN PETER,,9/22/2016,2,
MILLBURY,MA,19 RIVER,,12/11/2016,1,
MILLBURY,MA,19 RIVER,,12/23/2016,1,
MILLBURY,MA,21 ELMWOOD,,7/6/2016,2,
MILLBURY,MA,23 LESLIE,,10/3/2016,2,
MILLBURY,MA,30 GRAFTON,,10/28/2016,2,
MILLBURY,MA,38 SYCAMORE,,9/12/2016,1,
MILLBURY,MA,7 ELM,,10/21/2016,2,
MILLBURY,MA,7 FONTAINE,,10/6/2016,2,
MILLBURY,MA,8 LINCOLN,,5/18/2016,2,
MILLBURY,MA,OPP 131 ELM,,11/14/2016,2,
NATICK,MA,1 CHRYSLER,,1/27/2016,2,
NATICK,MA,10 OVERBROOK,,2/25/2016,2,
NATICK,MA,10 RICHMOND,,5/5/2016,2,
NATICK,MA,12 VERMONT,,11/21/2016,2,
NATICK,MA,14 FLORENCE,,3/4/2016,1,
NATICK,MA,14 JENNINGS POND,,1/13/2016,2,
NATICK,MA,14 JENNINGS POND,,12/27/2016,1,
NATICK,MA,14 RICHMOND,,5/5/2016,2,
NATICK,MA,143 MILL,,11/22/2016,2,
NATICK,MA,16 AVON,,5/6/2016,1,
NATICK,MA,16 CURTIS,,11/15/2016,2,
NATICK,MA,16 RICHMOND,,5/5/2016,2,
NATICK,MA,16 SPEEN,,12/5/2016,2,
NATICK,MA,17 MORGAN,,11/28/2016,2,
NATICK,MA,186 MILL,,12/7/2016,2,
NATICK,MA,19 NEW HAMPSHIRE,,4/21/2016,1,
NATICK,MA,198 WEST CENTRAL,,4/28/2016,1,
NATICK,MA,2-4 HOME,,12/21/2016,2,
NATICK,MA,20 FERNDALE,,1/2/2016,1,
NATICK,MA,20 MAINE,,11/20/2016,2,
NATICK,MA,22 HARTFORD,,2/16/2016,1,
NATICK,MA,22 STRATFORD,,4/5/2016,1,
NATICK,MA,220 ELIOT,,12/13/2016,1,
NATICK,MA,24 CHURCH,,1/4/2016,2,
NATICK,MA,24 FERNDALE,,10/25/2016,1,
NATICK,MA,27 COTTAGE,,10/7/2016,1,
NATICK,MA,27 FERN,,12/13/2016,2,
NATICK,MA,27 HARTFORD,,3/9/2016,2,
NATICK,MA,29 FERN,,7/20/2016,2,
NATICK,MA,3 SHERMAN,,1/6/2016,1,
NATICK,MA,3-5 SHERMAN,,3/7/2016,2,
NATICK,MA,307 NORTH MAIN,,2/21/2016,1,
NATICK,MA,32 FELCH,,10/29/2016,2,
NATICK,MA,327 WEST CENTRAL,,4/14/2016,2,
NATICK,MA,35-37 HARWOOD,,12/29/2016,1,
NATICK,MA,36 CENTRE,,12/28/2016,1,
NATICK,MA,36 SYLVESTER,,12/28/2016,2,
NATICK,MA,37 HARWOOD,,8/17/2016,2,
NATICK,MA,42 HARWOOD,,12/21/2016,2,
NATICK,MA,6 VIRGINIA,,11/18/2016,2,
NATICK,MA,6-8 OAKLAND,,10/13/2016,1,
NATICK,MA,60 FELCH,,7/23/2016,2,
NATICK,MA,60 FELCH,,7/23/2016,2,
NATICK,MA,62 WEST CENTRAL,,3/24/2016,2,
NATICK,MA,68 PARK,,5/24/2016,1,
NATICK,MA,68 PILGRIM,,8/19/2016,1,
NATICK,MA,70 KENDALL,,11/4/2016,2,
NATICK,MA,75 SPEEN,,12/15/2016,2,
NATICK,MA,8 CHURCH,,11/25/2016,2,
NATICK,MA,82 NORTH MAIN,,6/8/2016,1,
NATICK,MA,82 SPEEN,,7/7/2016,2,
NATICK,MA,85 MIDDLESEX,,5/3/2016,2,
NATICK,MA,89 WASHINGTON,,8/15/2016,2,
NATICK,MA,89 WASHINGTON,,11/26/2016,2,
NATICK,MA,8A PLEASANT,,12/2/2016,2,
NEEDHAM,MA,1062 HIGHLAND,,10/4/2016,1,
NEEDHAM,MA,114 WEBSTER,,7/15/2016,1,
NEEDHAM,MA,1175 GREAT PLAIN,,5/11/2016,1,
NEEDHAM,MA,1313 GREAT PLAIN,,2/23/2016,1,
NEEDHAM,MA,138 LINDEN,,12/30/2016,2,
NEEDHAM,MA,15 BOWER,,8/9/2016,1,
NEEDHAM,MA,158 LAUREL,,11/21/2016,2,
NEEDHAM,MA,16 LEDGE,,8/11/2016,1,
NEEDHAM,MA,1689 CENTRAL,,11/4/2016,1,
NEEDHAM,MA,171 RESERVOIR,,12/10/2016,2,
NEEDHAM,MA,18 OAK HILL,,9/24/2016,1,
NEEDHAM,MA,20 LEE,,12/1/2016,2,
NEEDHAM,MA,203 COUNTRY,,2/22/2016,1,
NEEDHAM,MA,21 LEE,,12/1/2016,3,
NEEDHAM,MA,210 PARISH,,1/27/2016,1,
NEEDHAM,MA,210 PARISH,,11/17/2016,2,
NEEDHAM,MA,219 HUNNEWELL,,11/3/2016,1,
NEEDHAM,MA,23 WILSHIRE,,12/8/2016,2,
NEEDHAM,MA,238 HUNNEWELL,,8/15/2016,1,
NEEDHAM,MA,24 NORFOLK,,10/4/2016,1,
NEEDHAM,MA,258 KENDRICK,,7/5/2016,1,
NEEDHAM,MA,259 EDGEWATER,,12/1/2016,2,
NEEDHAM,MA,278 EDGEWATER,,4/25/2016,1,
NEEDHAM,MA,287 GREENDALE,,11/3/2016,1,
NEEDHAM,MA,293 WEBSTER,,1/22/2016,1,
NEEDHAM,MA,3 FRANCES,,1/20/2016,2,
NEEDHAM,MA,3 FRANCES,,2/16/2016,2,
NEEDHAM,MA,31 FAIRFIELD,,3/9/2016,1,
NEEDHAM,MA,33 KINGSBURY,,1/8/2016,2,
NEEDHAM,MA,35 MAPLE,,11/15/2016,2,
NEEDHAM,MA,39 FAIRFIELD,,10/19/2016,1,
NEEDHAM,MA,41 ROSEMARY,,8/17/2016,2,
NEEDHAM,MA,443 HIGH ROCK,,7/19/2016,2,
NEEDHAM,MA,452 HIGH ROCK,,7/19/2016,2,
NEEDHAM,MA,50 JOHN,,12/15/2016,1,
NEEDHAM,MA,53-83 FOURTH,,11/15/2016,2,
NEEDHAM,MA,57 ROSEMARY,,11/7/2016,2,
NEEDHAM,MA,57 ROSEMARY,,11/19/2016,2,
NEEDHAM,MA,60 ROSEMARY,,11/19/2016,2,
NEEDHAM,MA,671 GREAT PLAIN,,8/17/2016,2,
NEEDHAM,MA,69 WEXFORD,,9/6/2016,1,
NEEDHAM,MA,72 PRINCE,,10/29/2016,2,
NEEDHAM,MA,737 CHARLES RIVER,,1/13/2016,2,
NEEDHAM,MA,74 HENDERSON,,10/19/2016,2,
NEEDHAM,MA,77 A,,8/11/2016,1,
NEEDHAM,MA,772 GREAT PLAIN,,9/1/2016,2,
NEEDHAM,MA,772 GREAT PLAIN,,9/1/2016,2,
NEEDHAM,MA,914 CHARLES RIVER,,9/7/2016,1,
NEW BEDFORD,MA,250 DAVIS ST,,12/14/2016,2,
NEW BEDFORD,MA, COMMONWEALTH,,3/7/2016,3,
NEW BEDFORD,MA,117 COTTAGE ST,,6/30/2016,2,
NEW BEDFORD,MA,1242 PLEASANT,,8/8/2016,1,
NEW BEDFORD,MA,427 COUNTY ST,,8/31/2016,2,
NEW BEDFORD,MA,84 ACUSHNET,,6/17/2016,2,
NEW BEDFORD,MA,30 ADAMS ST,,12/8/2016,2,
NEW BEDFORD,MA,30 ADAMS ST,,12/9/2016,2,
NEW BEDFORD,MA, TARKILN HILL,,1/5/2016,2,
NEW BEDFORD,MA,2 SMITH ST,,7/8/2016,2,
NEW BEDFORD,MA,7 CRAPO ST,,6/9/2016,2,
NEW BEDFORD,MA,1 MIDDLE,,4/11/2016,3,
NEW BEDFORD,MA,1-2 SMITH STREET,,6/20/2016,1,
NEW BEDFORD,MA,1061 PLEASANT,,8/11/2016,2,
NEW BEDFORD,MA,107 RIDGEWOOD,,2/10/2016,2,
NEW BEDFORD,MA,109 SMITH,,12/8/2016,2,
NEW BEDFORD,MA,1095 MOUNT PLEASANT,,8/5/2016,1,
NEW BEDFORD,MA,11 COLLINS,,6/3/2016,2,
NEW BEDFORD,MA,113 EUGENIA,,2/24/2016,1,
NEW BEDFORD,MA,114 PALMER,,1/19/2016,2,
NEW BEDFORD,MA,114 PALMER,,1/19/2016,2,
NEW BEDFORD,MA,118 DAVID,,9/16/2016,2,
NEW BEDFORD,MA,12 GOSNOLD,,11/18/2016,2,
NEW BEDFORD,MA,12 VIALL,,10/8/2016,2,
NEW BEDFORD,MA,12 WASHINGTON,,7/14/2016,1,
NEW BEDFORD,MA,12 WASHINGTON,,10/3/2016,2,
NEW BEDFORD,MA,12-14 FIELDING,,9/26/2016,2,
NEW BEDFORD,MA,1207 PLEASANT,,11/1/2016,1,
NEW BEDFORD,MA,122 FERN,,2/24/2016,1,
NEW BEDFORD,MA,124 SHAWMUT,,7/11/2016,1,
NEW BEDFORD,MA,124 WASHINGTON,,8/25/2016,2,
NEW BEDFORD,MA,125 DARTMOUTH,,1/27/2016,1,
NEW BEDFORD,MA,125 WINTERVILLE,,10/21/2016,2,
NEW BEDFORD,MA,126 FERN,,10/11/2016,2,
NEW BEDFORD,MA,126 SHAWMUT,,1/8/2016,2,
NEW BEDFORD,MA,128 MOUNT PLEASANT,,9/23/2016,1,
NEW BEDFORD,MA,129 FIELD,,7/19/2016,1,
NEW BEDFORD,MA,1332 PLEASANT,,12/13/2016,2,
NEW BEDFORD,MA,135 ROBESON,,7/28/2016,1,
NEW BEDFORD,MA,14 SAGAMORE,,11/14/2016,2,
NEW BEDFORD,MA,145 BRANSCOMB,,11/9/2016,2,
NEW BEDFORD,MA,148 CENTRAL,,3/31/2016,1,
NEW BEDFORD,MA,15 COVELL,,3/17/2016,2,
NEW BEDFORD,MA,15 FELTON,,4/21/2016,1,
NEW BEDFORD,MA,15-17 BULLARD,,11/10/2016,2,
NEW BEDFORD,MA,152-154 ADAMS,,6/22/2016,1,
NEW BEDFORD,MA,152-154 ADAMS,,6/28/2016,2,
NEW BEDFORD,MA,153 HEMLOCK,,1/13/2016,1,
NEW BEDFORD,MA,156 MYRTLE,,4/22/2016,2,
NEW BEDFORD,MA,159 RYAN,,5/13/2016,2,
NEW BEDFORD,MA,162 BRANSCOMB,,7/19/2016,1,
NEW BEDFORD,MA,162 ROUNDS,,2/22/2016,2,
NEW BEDFORD,MA,163 MAXFIELD,,6/7/2016,2,
NEW BEDFORD,MA,163 WALNUT,,11/23/2016,1,
NEW BEDFORD,MA,164 RICHMOND,,2/22/2016,1,
NEW BEDFORD,MA,165 REED,,5/12/2016,2,
NEW BEDFORD,MA,165 RYAN,,3/2/2016,1,
NEW BEDFORD,MA,177 THOMPSON,,4/28/2016,2,
NEW BEDFORD,MA,18-2C WATSON,,7/7/2016,2,
NEW BEDFORD,MA,1812 ACUSHNET,,5/4/2016,2,
NEW BEDFORD,MA,186 RYAN,,12/3/2016,2,
NEW BEDFORD,MA,19 RICHMOND,,10/3/2016,2,
NEW BEDFORD,MA,19 WILLIS,,1/26/2016,2,
NEW BEDFORD,MA,19 WILLIS,,2/3/2016,2,
NEW BEDFORD,MA,191 OSBORNE,,6/29/2016,1,
NEW BEDFORD,MA,192 NORTH FRONT,,7/28/2016,1,
NEW BEDFORD,MA,203 POTTER,,8/30/2016,1,
NEW BEDFORD,MA,207 WELD,,1/22/2016,2,
NEW BEDFORD,MA,212 COURT,,3/15/2016,1,
NEW BEDFORD,MA,215 ADELAIDE,,4/15/2016,1,
NEW BEDFORD,MA,223 CARROLL,,12/13/2016,2,
NEW BEDFORD,MA,229 COFFIN,,12/19/2016,2,
NEW BEDFORD,MA,23 INDEPENDENT,,12/27/2016,1,
NEW BEDFORD,MA,23 LONGWOOD,,12/10/2016,2,
NEW BEDFORD,MA,24 MYRTLE,,8/4/2016,1,
NEW BEDFORD,MA,241 WELD,,6/16/2016,1,
NEW BEDFORD,MA,245 WALNUT,,10/25/2016,2,
NEW BEDFORD,MA,246 WALNUT,,10/26/2016,2,
NEW BEDFORD,MA,2488 ACUSHNET,,1/21/2016,2,
NEW BEDFORD,MA,25 LOMBARD,,3/7/2016,2,
NEW BEDFORD,MA,251 DARTMOUTH,,2/17/2016,1,
NEW BEDFORD,MA,255 RYAN,,8/12/2016,2,
NEW BEDFORD,MA,257 NASH,,7/21/2016,1,
NEW BEDFORD,MA,26 BULLOCK,,1/15/2016,1,
NEW BEDFORD,MA,26 NYE,,11/21/2016,2,
NEW BEDFORD,MA,261 WALNUT,,6/30/2016,2,
NEW BEDFORD,MA,269-271 NASH,,11/14/2016,1,
NEW BEDFORD,MA,27 NYE,,1/15/2016,2,
NEW BEDFORD,MA,27 RODNEY,,5/20/2016,1,
NEW BEDFORD,MA,27 WESTVIEW,,11/10/2016,2,
NEW BEDFORD,MA,275 NORTH,,11/18/2016,2,
NEW BEDFORD,MA,28 ALVA,,5/23/2016,2,
NEW BEDFORD,MA,28 ASHLEY,,10/15/2016,2,
NEW BEDFORD,MA,28 BELLEVILLE,,4/20/2016,2,
NEW BEDFORD,MA,28 BULLOCK,,9/29/2016,1,
NEW BEDFORD,MA,28 MYRTLE,,2/10/2016,2,
NEW BEDFORD,MA,28 PRISCILLA,,10/7/2016,2,
NEW BEDFORD,MA,280 EARLE,,7/21/2016,1,
NEW BEDFORD,MA,289 BOLTON,,1/15/2016,2,
NEW BEDFORD,MA,289 BOLTON,,4/7/2016,3,
NEW BEDFORD,MA,289 BOLTON,,4/7/2016,2,
NEW BEDFORD,MA,29 ASHLEY,,9/3/2016,2,
NEW BEDFORD,MA,30-32 FRANKLIN,,2/4/2016,2,
NEW BEDFORD,MA,309 SOUTH SECOND,,6/6/2016,3,
NEW BEDFORD,MA,311 COUNTY,,12/3/2016,1,
NEW BEDFORD,MA,313 HERSOM,,9/15/2016,2,
NEW BEDFORD,MA,32 MANDELL,,12/19/2016,2,
NEW BEDFORD,MA,322 COFFIN,,12/13/2016,1,
NEW BEDFORD,MA,326-328 CONDUIT,,6/22/2016,2,
NEW BEDFORD,MA,35 WILLIS,,8/24/2016,2,
NEW BEDFORD,MA,35-37 WALDO,,2/1/2016,2,
NEW BEDFORD,MA,350 PURCHASE,,6/8/2016,2,
NEW BEDFORD,MA,36 ACUSHNET,,12/6/2016,2,
NEW BEDFORD,MA,367 CEDAR,,3/2/2016,1,
NEW BEDFORD,MA,37 HOLDEN,,3/17/2016,2,
NEW BEDFORD,MA,374 ROCKDALE,,3/23/2016,2,
NEW BEDFORD,MA,378 BEDFORD,,7/12/2016,2,
NEW BEDFORD,MA,38 SHERMAN,,6/7/2016,1,
NEW BEDFORD,MA,38-40 EMERY,,8/31/2016,2,
NEW BEDFORD,MA,395 CEDAR,,12/22/2016,2,
NEW BEDFORD,MA,397 COTTAGE,,2/23/2016,1,
NEW BEDFORD,MA,4 FRANKLIN,,12/5/2016,1,
NEW BEDFORD,MA,42 GROVE,,1/29/2016,1,
NEW BEDFORD,MA,43 KING,,10/10/2016,1,
NEW BEDFORD,MA,43 ROOSEVELT,,3/25/2016,1,
NEW BEDFORD,MA,437 ORCHARD,,5/25/2016,1,
NEW BEDFORD,MA,439-445 MAXFIELD,,11/15/2016,2,
NEW BEDFORD,MA,45 COGGESHALL,,6/16/2016,1,
NEW BEDFORD,MA,456 ROCKDALE,,7/12/2016,1,
NEW BEDFORD,MA,4674 ACUSHNET,,1/27/2016,1,
NEW BEDFORD,MA,474 JOHN,,8/24/2016,2,
NEW BEDFORD,MA,474 JOHN,,9/30/2016,2,
NEW BEDFORD,MA,474 SUMMER,,9/8/2016,2,
NEW BEDFORD,MA,476 SOUTH SECOND,,3/18/2016,2,
NEW BEDFORD,MA,5 FRANKLIN,,10/20/2016,2,
NEW BEDFORD,MA,5 JACINTHO,,1/13/2016,1,
NEW BEDFORD,MA,5 JEAN,,5/31/2016,1,
NEW BEDFORD,MA,506 BOLTON,,12/9/2016,2,
NEW BEDFORD,MA,51 PARKER,,9/21/2016,2,
NEW BEDFORD,MA,51 PARKER,,11/18/2016,1,
NEW BEDFORD,MA,51 RUSSELL,,6/16/2016,2,
NEW BEDFORD,MA,51 SEVENTH,,1/29/2016,1,
NEW BEDFORD,MA,527 CHURCH,,1/25/2016,2,
NEW BEDFORD,MA,537 KIRBY,,7/28/2016,1,
NEW BEDFORD,MA,54 GREENBRIER,,12/9/2016,2,
NEW BEDFORD,MA,55 INDEPENDENT,,8/18/2016,2,
NEW BEDFORD,MA,559-561 ROCKDALE,,8/8/2016,2,
NEW BEDFORD,MA,56 NELSON,,1/14/2016,2,
NEW BEDFORD,MA,582 SHAWMUT,,10/29/2016,3,
NEW BEDFORD,MA,59 SYLVIA,,3/22/2016,2,
NEW BEDFORD,MA,61 KATHARINE,,1/7/2016,2,
NEW BEDFORD,MA,61 PARKER,,9/29/2016,2,
NEW BEDFORD,MA,61 WALDEN,,9/30/2016,2,
NEW BEDFORD,MA,62 MYRTLE,,2/4/2016,2,
NEW BEDFORD,MA,63 PARKER,,9/15/2016,2,
NEW BEDFORD,MA,63 ROTCH,,6/23/2016,1,
NEW BEDFORD,MA,640 W RODNEY FRENCH,,1/14/2016,2,
NEW BEDFORD,MA,65 FOREST,,12/10/2016,1,
NEW BEDFORD,MA,66 PAMELA,,8/29/2016,1,
NEW BEDFORD,MA,66 SPRUCE,,7/13/2016,2,
