ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
92a7b52f67fe86bbb98e4bd4cd84c3ec,86 COPELAND ST QUINCY MA,86 COPELAND ST,QUINCY,,9/28/16,2
63281013c30ee9af51bfff9d2d674232,86 DUMMER ST BROOKLINE MA,86 DUMMER ST,BROOKLINE,,6/15/16,3
a70cc52e8c345ee0459c6ba0fb1f8c7f,86 DYSART ST QUINCY MA,86 DYSART ST,QUINCY,,5/3/16,2
a79b5eed022f7043ed8f01e7c2f377ef,86 EDSON ST DORCHESTER MA,86 EDSON ST,DORCHESTER,,7/28/16,2
b1375bb9e0345c0be7685684bf9b0375,86 ELM ST MEDFORD MA,86 ELM ST,MEDFORD,,4/14/16,1
15d69af771fbb53c7f8f264614ed2a3c,86 GALLIVAN BLVD DORCHESTER MA,86 GALLIVAN BLVD,DORCHESTER,,2/22/16,1
66e7aba2af2c53850e4ca6edfa08f4b0,86 GEORGE ST MEDFORD MA,86 GEORGE ST,MEDFORD,,5/24/16,2
31472aa5db77187ca3170bbe11635719,86 MALL ST LYNN MA,86 MALL ST,LYNN,,2/25/16,2A
c934aafdb239a3b8a91ff1215229fb3f,86 MANOMET AVE HULL MA,86 MANOMET AVE,HULL,,5/31/16,1
504368074f04cf57979c2f7959fe5ef1,86 MANTHORNE RD WEST ROXBURY MA,86 MANTHORNE RD,WEST ROXBURY,,12/20/16,2
7c18880b59f797436bee51186bc6ec44,86 MCKAY ST BEVERLY MA,86 MCKAY ST,BEVERLY,,8/24/16,2
ce5bbece6fad6195090affa57bb6bbc0,86 MEDFORD ST MEDFORD MA,86 MEDFORD ST,MEDFORD,,1/14/16,2
376fca70a5b2f3b0650b62f304f5ae53,86 PHILIP FARM RD CONCORD MA,86 PHILIP FARM RD,CONCORD,,7/18/16,1
cd29fd3594abd15eb0a0ccabad1af62e,86 PLEASANT ST HINGHAM MA,86 PLEASANT ST,HINGHAM,,5/14/16,1
cee8072b8a8128d6a8b21041e1007c88,86 SUFFOLK RD WELLESLEY MA,86 SUFFOLK RD,WELLESLEY,,8/15/16,2
3c5be350521c53973e71e3f90a82f363,86 WASHINGTON ST NEWTON MA,86 WASHINGTON ST,NEWTON,,12/14/16,1
5d94e5ab27a6133e017be96f1c38fe46,86 WILLARD RD BROOKLINE MA,86 WILLARD RD,BROOKLINE,,4/19/16,2
029f8a02fadebba2f5d397c8dd688f87,860 HARRISON AVE BOSTON MA,860 HARRISON AVE,BOSTON,,2/25/16,1
