ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
f4f273bc2bdbc47dc80ff46637b0ab1c,THIRD AND KENDALL ST CAMBRIDGE MA, THIRD,CAMBRIDGE,@ KENDALL ST,1/20/2016,2
23103afd7f21890cf55340a572b4abf0,PINE AND KIELY RD DEDHAM MA, PINE,DEDHAM,@ KIELY RD,3/7/2016,2
19ee4278857afe9baf5af386055047b6,OAKVALE AND LANCASTER RD FRAMINGHAM MA, OAKVALE,FRAMINGHAM,@ LANCASTER RD,2/2/2016,2
0c1e4299bd3ec608813c68cdb9f75bac,PLEASANT AND LAUF ST WORCESTER MA, PLEASANT,WORCESTER,@ LAUF ST,10/21/2016,1
8595e28229b4bd54bd3ca2832f7c5e89,MASSACHUSETTS AND LEE ST CAMBRIDGE MA, MASSACHUSETTS,CAMBRIDGE,@ LEE ST,12/3/2016,2
40e6313c3a4e370de9ccb7b7b7cb2b05,HENRY AND LINCOLN ST FRAMINGHAM MA, HENRY,FRAMINGHAM,@ LINCOLN ST,2/29/2016,2
f42159ccda50ed121a829c5661c57dba,LORING AND LORING PL HYDE PARK MA, LORING,HYDE PARK,@ LORING PL,10/26/2016,2
4ae07440d6d226d18ffa684cf32e8b19,CHITTICK AND LORING ST HYDE PARK MA, CHITTICK,HYDE PARK,@ LORING ST,10/24/2016,2
ef32258b1b8e9fe8a40a4ca400c495e7,DANA AND LORING ST HYDE PARK MA, DANA,HYDE PARK,@ LORING ST,6/27/2016,2
9a31a7e87cd70acdde8816c74f0416d0,COURT AND LOTHROP ST PLYMOUTH MA, COURT,PLYMOUTH,@ LOTHROP ST,8/15/2016,1
3074a788d6d66edee5da92f511c348d6,MAY AND LOVELL ST WORCESTER MA, MAY,WORCESTER,@ LOVELL ST,3/10/2016,1
b34569eddaa66f24d0009441e6fb5cea,SEVENTH AND MADISON ST NEW BEDFORD MA, SEVENTH,NEW BEDFORD,@ MADISON ST,1/4/2016,3
82ca425b3d41e1543ca0c40683ec93c3,SEVENTH AND MADISON ST NEW BEDFORD MA, SEVENTH,NEW BEDFORD,@ MADISON ST,2/3/2016,2
139c9fb95eee523c69749756767292f1,WORCESTER AND MAIN ST FRAMINGHAM MA, WORCESTER,FRAMINGHAM,@ MAIN ST,3/7/2016,2
7e02abfccd2c8dd118778dad6c9b33fc,MAPLE AND MARIE AVE CAMBRIDGE MA, MAPLE,CAMBRIDGE,@ MARIE AVE,2/19/2016,2
cba81f5fb03e4aa2201b2e47f2765b1f,MILLBURY AND MASS PIKE OVR MILLBURY MA, MILLBURY,MILLBURY,@ MASS PIKE OVR,11/14/2016,2
813ae39d9bf2f7bd52c1514c88a1e3d7,FLORENCE AND MAYWOOD ST WORCESTER MA, FLORENCE,WORCESTER,@ MAYWOOD ST,4/8/2016,1
41329715b6e71d67e59734f8b6b55769,HYDE PARK AND METROPOLITAN HYDE PARK MA, HYDE PARK,HYDE PARK,@ METROPOLITAN,4/22/2016,1
065fe8bb572cbb4a56844716af33efbe,SOUTH BUFFUM AND MILL ST WORCESTER MA, SOUTH BUFFUM,WORCESTER,@ MILL ST,12/21/2016,2
ecc990b6e0f1b3b743c3e74fdcd39e4c,WHEELOCK AND MILLBURY AVE MILLBURY MA, WHEELOCK,MILLBURY,@ MILLBURY AVE,7/19/2016,2
e246325c259e3248d5d8ea5667c4b328,SHARP AND MILTON ST DARTMOUTH MA, SHARP,DARTMOUTH,@ MILTON ST,10/13/2016,2
9b51b4bc5bc0ab5329e77c131829d0c5,FOREST AND MYRTLE ST MILFORD MA, FOREST,MILFORD,@ MYRTLE ST,12/15/2016,2
7eae191558c68cdf94f81124f9c50269,PENNIMAN AND MYRTLE ST NEW BEDFORD MA, PENNIMAN,NEW BEDFORD,@ MYRTLE ST,1/13/2016,2
3c0609f107f95c43609e69e77bbc35e4,BRIDGE AND NEEDHAM ST DEDHAM MA, BRIDGE,DEDHAM,@ NEEDHAM ST,3/12/2016,2
e20359ca238ed1b701a08880e1f1a1f0,MAIN AND NEWTON ST MARLBORO MA, MAIN,MARLBORO,@ NEWTON ST,2/15/2016,1
266432819229402593b866668ddf26ab,DUTCHER AND NORTHROP ST HOPEDALE MA, DUTCHER,HOPEDALE,@ NORTHROP ST,3/10/2016,2
f8830f55ffd6088d627d37ec75d88bd6,DUTCHER AND NORTHROP ST HOPEDALE MA, DUTCHER,HOPEDALE,@ NORTHROP ST,4/27/2016,2
344ab6944941a72e1ee196c202e93d9d,DUTCHER AND NORTHROP ST HOPEDALE MA, DUTCHER,HOPEDALE,@ NORTHROP ST,5/2/2016,2
5cbd663c1d6764fb1e550049caac15ef,HARVEY AND NORTON ST DARTMOUTH MA, HARVEY,DARTMOUTH,@ NORTON ST,2/11/2016,2
ca12b9a3b90c7dc93d2dd0dcdc4e00f6,UNDERWOOD AND OAK ST HOLLISTON MA, UNDERWOOD,HOLLISTON,@ OAK ST,11/9/2016,1
1292633b9a4730c914db7d65de234518,KENDALL AND OAK ST WORCESTER MA, KENDALL,WORCESTER,@ OAK ST,12/18/2016,1
a02e9cf1af58148f112050b46414c67f,WORCESTER AND OVERBROOK NATICK MA, WORCESTER,NATICK,@ OVERBROOK,12/19/2016,2
26d7defa805a5cc851e1b72a47668e73,WILSON AND PACKARD ST HUDSON MA, WILSON,HUDSON,@ PACKARD ST,1/26/2016,2
899a6044505cf2e2ef9e0f447af9ab42,ANGELA AND PAL DR SHREWSBURY MA, ANGELA,SHREWSBURY,@ PAL DR,6/13/2016,1
15a06020c07780578d9ed3a24ef84ae3,MAY AND PARK AVE WORCESTER MA, MAY,WORCESTER,@ PARK AVE,11/13/2016,1
42276891ff55ca8ae5c68f9a42c4eb8e,MILL AND PARK CT GRAFTON MA, MILL,GRAFTON,@ PARK CT,7/29/2016,2
d05570019006c80a2fbb814b94ec15e2,CEDAR AND PARKER ST NEW BEDFORD MA, CEDAR,NEW BEDFORD,@ PARKER ST,11/10/2016,2
a2b2aa7c0d40662c0340f5b538a6275a,CHINO AND PASADENA WORCESTER MA, CHINO,WORCESTER,@ PASADENA,9/21/2016,2
e2d57b6b4c734bb28cfce590efdb4f70,CHINO AND PASADENA WORCESTER MA, CHINO,WORCESTER,@ PASADENA,11/2/2016,1
e360b71a4050506b650e310e6d0be7bd,PERRY AND PEARL ST CAMBRIDGE MA, PERRY,CAMBRIDGE,@ PEARL ST,8/9/2016,1
cecf2f340e459160b2b2a9f13ec09d48,FELTON AND PLEASANT ST HUDSON MA, FELTON,HUDSON,@ PLEASANT ST,3/9/2016,2
14e7504678b687bf0eed402f10cf4ca5,THERESA AND POLE 426 DARTMOUTH MA, THERESA,DARTMOUTH,@ POLE 426,12/30/2016,2
80e403abaaa696dc8149dc627a7e0706,BEACH AND POND ST WORCESTER MA, BEACH,WORCESTER,@ POND ST,8/26/2016,1
bda7ce405f1f0b2674c9b3c55aebb6db,HARVARD AND PORTLAND ST CAMBRIDGE MA, HARVARD,CAMBRIDGE,@ PORTLAND ST,9/21/2016,2
81f6fa9970f7d07868bdb15528ddb8c7,BROADWAY AND PRESCOTT ST CAMBRIDGE MA, BROADWAY,CAMBRIDGE,@ PRESCOTT ST,11/3/2016,1
536012810b6011b37f7bfc19d443695c,HIGHLAND AND PROSPECT ST HOLLISTON MA, HIGHLAND,HOLLISTON,@ PROSPECT ST,8/30/2016,1
594d8cda2010fc51a2f7f58894d562e4,DORCHESTER AND PROVIDENCE ST WORCESTER MA, DORCHESTER,WORCESTER,@ PROVIDENCE ST,1/8/2016,1
0c9ad941fe80adf3e27f4823d3c70b6b,BELMONT AND RENA WORCESTER MA, BELMONT,WORCESTER,@ RENA,1/6/2016,1
504bda787c4ff044ee8f0c57c2141cca,MAITLAND AND RICHMOND ST NEW BEDFORD MA, MAITLAND,NEW BEDFORD,@ RICHMOND ST,8/30/2016,2
0ab572e6dfd8a5338425d46a45945b09,RIVER AND RIVERSIDE AVE MATTAPOISETT MA, RIVER,MATTAPOISETT,@ RIVERSIDE AVE,5/2/2016,2
