ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE RECORDED,GRADE
478f69852e1c42b9dd732b5fea58fd57,100 SCIARAPPA CAMBRIDGE MA,100 SCIARAPPA,CAMBRIDGE,,07/19/2016,3
be09dc22194afe8219a6223f08e0700e,1000 MASSACHUSETTS CAMBRIDGE MA,1000 MASSACHUSETTS,CAMBRIDGE,,06/03/2016,3
29be113d1a25a30aa78a0398693cd8a6,1008 PLEASANT FRAMINGHAM MA,1008 PLEASANT,FRAMINGHAM,,05/10/2014,3
b098141fdea4eba42aabb472daf3c76b,101 BEECHING WORCESTER MA,101 BEECHING,WORCESTER,,08/26/2014,3
aecc7c22a998ef30c3ad5aae2a36f81b,101 SOUTHBRIDGE AUBURN MA,101 SOUTHBRIDGE,AUBURN,,04/07/2014,3
a929f9a64d31edb50d7b49435cf6b809,101-103 FOREST WORCESTER MA,101-103 FOREST,WORCESTER,,10/01/2014,3
dede66c24be83acbdb6ad8793258bd97,1010 PLEASANT WORCESTER MA,1010 PLEASANT,WORCESTER,,10/25/2016,3
0f5d64cca3c4e07c67dbf990c622b780,1017 DEWEY NEW BEDFORD MA,1017 DEWEY,NEW BEDFORD,,07/02/2015,3
66c7d5a5da645cd9ff0168cfc94f91c2,102 1/2 SPEEN NATICK MA,102 1/2 SPEEN,NATICK,,11/29/2016,3
71fd4e4b3abe670e59dfae04b1f18a0e,102 ARLINGTON HYDE PARK MA,102 ARLINGTON,HYDE PARK,,03/14/2015,3
af23f6ce1af36251fc9ac22ea3772a95,102 GREEN FAIRHAVEN MA,102 GREEN,FAIRHAVEN,,09/16/2014,3
5ed7503397f7103cb0e4df39a7008a92,102 GROVE WORCESTER MA,102 GROVE,WORCESTER,,12/12/2014,3
1d93e0bcc3d80660694f101705ac8a25,102 MOUNT PLEASANT NEW BEDFORD MA,102 MOUNT PLEASANT,NEW BEDFORD,,10/26/2016,3
c8273ffe74cac1908a06391626b79f97,102 NORTH OXFORD AUBURN MA,102 NORTH OXFORD,AUBURN,,11/05/2014,3
5c1ec6e0b53e1bf478ac328216481b37,102 STANDISH NEEDHAM MA,102 STANDISH,NEEDHAM,,09/11/2014,3
27467d758e95a20f2f96ae78baa764ee,102 STATE DARTMOUTH MA,102 STATE,DARTMOUTH,,04/24/2015,3
4f4ad7a0870ab6266907b7ab0f2f42b1,103 BELLEVILLE NEW BEDFORD MA,103 BELLEVILLE,NEW BEDFORD,,05/27/2014,3
5935864a4d862d739349a3bc0af11704,103 BOYCE AUBURN MA,103 BOYCE,AUBURN,,12/22/2016,3
bea707b8884ce8445a59dfaa5678a234,103 HUDSON NEW BEDFORD MA,103 HUDSON,NEW BEDFORD,,07/14/2014,3
daba2c477d0858ca3d0ff8e81c7adfd2,103 MILL WORCESTER MA,103 MILL,WORCESTER,,10/08/2014,3
522446648599933830aec4c6f190c031,103 NORTH MATTAPOISETT MA,103 NORTH,MATTAPOISETT,,05/04/2015,3
a1e90545a664fa8efab4dbade864cf25,103 SMITH NEW BEDFORD MA,103 SMITH,NEW BEDFORD,,06/20/2016,3
e66858fb4351d372ca26f42782dd3fed,103-105 MERRIMAC NEW BEDFORD MA,103-105 MERRIMAC,NEW BEDFORD,,08/08/2016,3
2a0f3024780aa781413d9b95cb73b6e6,1030 PLEASANT WORCESTER MA,1030 PLEASANT,WORCESTER,,10/25/2016,3
0c1f26be3c2b6d2139e8f6ecf259a829,1032 RIVER HYDE PARK MA,1032 RIVER,HYDE PARK,,04/22/2016,3
b98569927dc3b229d0ff3e84e50162be,1033 MASSACHUSETTS CAMBRIDGE MA,1033 MASSACHUSETTS,CAMBRIDGE,,06/23/2015,3
444ea279fa05e726c47f03de9fc178f7,1035 BOWLES NEW BEDFORD MA,1035 BOWLES,NEW BEDFORD,,06/29/2015,3
e84c293681356f1ca7b0b3415f144b2f,1038 MASSACHUSETTS CAMBRIDGE MA,1038 MASSACHUSETTS,CAMBRIDGE,,11/04/2016,3
22e50b38b55b9e3f14d9e39c56964b19,103B BEAVER TERRACE FRAMINGHAM MA,103B BEAVER TERRACE,FRAMINGHAM,,08/28/2013,3
540debd3d35e15d02677ec8045359bcb,104 CHANDLER WORCESTER MA,104 CHANDLER,WORCESTER,,05/21/2014,3
1b5a79ace7ec6c49925dc7d3eedf5e6b,104 MILL WORCESTER MA,104 MILL,WORCESTER,,08/29/2013,3
53154a58bd56ec6c3d2c40d619cc66ce,104A INMAN CAMBRIDGE MA,104A INMAN,CAMBRIDGE,,07/15/2015,3
8e1924dc4cca5d90922711daceb86314,105 CLOVER WORCESTER MA,105 CLOVER,WORCESTER,,11/04/2016,3
eaf78012d71cb3665f54ce217e15fbc4,105 ELM FRAMINGHAM MA,105 ELM,FRAMINGHAM,,10/21/2014,3
ba9f33d1603f8b7b66d693c997ad8b4d,105 FRESH POND CAMBRIDGE MA,105 FRESH POND,CAMBRIDGE,,12/16/2016,3
06256830b2f0044ef2bc493bf7cefd73,105 HOWE ASHLAND MA,105 HOWE,ASHLAND,,06/22/2016,3
f1be9d23a276aaf31871494d98009ac2,105 MAY WORCESTER MA,105 MAY,WORCESTER,,10/16/2014,3
45cc8ce023c035a675645792aa84d880,105 NORTH ST MATTAPOISETT MA,105 NORTH ST,MATTAPOISETT,,01/20/2015,3
141baa2cdfbac5cb73716095297266ea,105 PLEASANT FAIRHAVEN MA,105 PLEASANT,FAIRHAVEN,,10/02/2015,3
185ca85c3fc5a7756a63952cc0fa9423,105 SECOND FRAMINGHAM MA,105 SECOND,FRAMINGHAM,,12/22/2015,3
f30876bc515440db55c1857749d3faec,105 WARREN ASHLAND MA,105 WARREN,ASHLAND,,06/16/2016,3
0e8e0bd600b8bd01fe214b57968758b1,105 WOODLAND ST WEST BOYLSTON MA,105 WOODLAND ST,WEST BOYLSTON,,11/19/2014,3
9b20da90a808708d3810b2b29797fa20,105-107 CHILD HYDE PARK MA,105-107 CHILD,HYDE PARK,,05/16/2016,3
fa5bea7feada1d421288891200b2974b,1052 PLEASANT WORCESTER MA,1052 PLEASANT,WORCESTER,,05/09/2014,3
04def5906d48e488497019942467e204,1057 PLEASANT WORCESTER MA,1057 PLEASANT,WORCESTER,,10/27/2014,3
d13a123b14304781e9d1764dfae6ae9d,106 ACUSHNET NEW BEDFORD MA,106 ACUSHNET,NEW BEDFORD,,09/15/2014,3
c4ec1b632fa9eec02987ce955c8e629f,106 ACUSHNET NEW BEDFORD MA,106 ACUSHNET,NEW BEDFORD,,06/30/2016,3
ae40f7d888f26859e60ecd0f9be4749f,106 ADAMS FAIRHAVEN MA,106 ADAMS,FAIRHAVEN,,12/12/2016,3
094f43ed13fb5226a1b983b2680ce30c,106 DONNA HOLLISTON MA,106 DONNA,HOLLISTON,,09/30/2015,3
ade17a8349f6c0118e1f36516212ab61,106 EAST NORTHBRIDGE MA,106 EAST,NORTHBRIDGE,,04/29/2016,3
cb87f35a5e42626413f0efa3c1c53c1a,106 HANCOCK CAMBRIDGE MA,106 HANCOCK,CAMBRIDGE,,12/09/2016,3
435fa796357ed72895bb71e5acf03aa6,106 KENBERMA WORCESTER MA,106 KENBERMA,WORCESTER,,05/13/2014,3
66c8723c1f8cbd47e6b79ea95fba54cd,106 LAMARTINE WORCESTER MA,106 LAMARTINE,WORCESTER,,09/26/2014,3
fb80afcfbd99c8817e6c69c92d47b2e7,106 SPRING DARTMOUTH MA,106 SPRING,DARTMOUTH,,10/03/2016,3
c8be95a8c555089c10cd3a23dbdb9102,106 WEST BOYLSTON WORCESTER MA,106 WEST BOYLSTON,WORCESTER,,12/05/2016,3
05231a8f0bbe360420ed7eb896ba6464,1061 PLEASANT WORCESTER MA,1061 PLEASANT,WORCESTER,,07/17/2015,3
6975a4c03de15d8bff8107cb6b972eb8,1067 CHURCHILL NEW BEDFORD MA,1067 CHURCHILL,NEW BEDFORD,,05/09/2014,3
04ccef5e587901fb3f3b385cb14b6e31,107 ALVARADO AVE WORCESTER MA,107 ALVARADO AVE,WORCESTER,,08/12/2014,3
ecfbab195b44b01ea29d193e369bff88,107 BEDFORD NEW BEDFORD MA,107 BEDFORD,NEW BEDFORD,,05/09/2016,3
e7293fb3961fe28a5507ad4d082d8edd,107 EUREKA WORCESTER MA,107 EUREKA,WORCESTER,,11/03/2016,3
ef83ce88a42de22c1435fa4fd9e3aff0,107 ILLINOIS WORCESTER MA,107 ILLINOIS,WORCESTER,,07/19/2016,3
d91b73ac2fba280fdffe9f674aed35de,107 ROUNDTOP FRAMINGHAM MA,107 ROUNDTOP,FRAMINGHAM,,10/30/2014,3
b483ef60fa9bf9c6f93cb3f59647f0f5,1079 BRALEY NEW BEDFORD MA,1079 BRALEY,NEW BEDFORD,,04/29/2015,3
15fe38d6ee5351038ce9dd5cde482cb2,108 ELM WORCESTER MA,108 ELM,WORCESTER,,05/14/2013,3
c21bc9f214c658eaed7578f784fb4b98,108 GARFIELD HYDE PARK MA,108 GARFIELD,HYDE PARK,,07/13/2016,3
ddf8a3cae34fd03eea0b68741d8971f4,108 ROCKLAND DARTMOUTH MA,108 ROCKLAND,DARTMOUTH,,09/14/2016,3
e6a88e37850c198dce2f4176a2c3a703,108 WAVERLY ASHLAND MA,108 WAVERLY,ASHLAND,,06/05/2014,3
7b80a7f2286a168097dac9457a865b80,1084 TRUMAN HYDE PARK MA,1084 TRUMAN,HYDE PARK,,12/09/2013,3
0a366f9f99798c45e50b0094781a58e0,1085 WORCESTER NATICK MA,1085 WORCESTER,NATICK,,07/05/2016,3
44449f08628fdef50028df738a028133,109 EDGEWATER FRAMINGHAM MA,109 EDGEWATER,FRAMINGHAM,,11/21/2014,3
3a61d02765d6be0f068fd4b2417fa74b,109 FORT MEADOW HUDSON MA,109 FORT MEADOW,HUDSON,,12/14/2016,3
83b1bb09d94b19f920b8e042afa6bbf0,109 MILL WORCESTER MA,109 MILL,WORCESTER,,10/08/2014,3
3f33470d435f3f2ffb9ec5596d3f57c8,109 PIERCE HYDE PARK MA,109 PIERCE,HYDE PARK,,07/11/2016,3
6c0201adc667f6cb5857500e4a82127c,109 ROCKLAND DARTMOUTH MA,109 ROCKLAND,DARTMOUTH,,09/14/2016,3
d27eb85d09cbcc2f543198a0ab8f95c1,1094 WORCESTER FRAMINGHAM MA,1094 WORCESTER,FRAMINGHAM,,07/18/2012,3
a0b0143428fb2931eb1faab764d1210d,1096 MAIN WORCESTER MA,1096 MAIN,WORCESTER,,06/01/2016,3
f0de51a70b86419d372563536ee3c453,11 & 18 LONG VIEW NEW BEDFORD MA,11 & 18 LONG VIEW,NEW BEDFORD,,05/08/2014,3
f576f450a5a8b81cf144e3cb29ff679d,11 BALCOM MARLBORO MA,11 BALCOM,MARLBORO,,10/27/2016,3
06b46ebde4b9be9983575728502291ee,11 BAY STATE WORCESTER MA,11 BAY STATE,WORCESTER,,08/19/2014,3
84576cce8b806073a174cee9a8b70691,11 BOWDOIN MILFORD MA,11 BOWDOIN,MILFORD,,02/29/2016,3
fddc59bea8f3dd896394134856f6be66,11 BRAEBURN HYDE PARK MA,11 BRAEBURN,HYDE PARK,,06/28/2016,3
fc838ef1e5d34f79b0f12230a61772dd,11 BRANTWOOD WORCESTER MA,11 BRANTWOOD,WORCESTER,,05/06/2015,3
51b474898d856eaff61e8fddc0dac27f,11 BURNCOAT WORCESTER MA,11 BURNCOAT,WORCESTER,,09/26/2014,3
95c6f8c9c23eb04d278ea7c5f4e98b9e,11 CARLISLE CAMBRIDGE MA,11 CARLISLE,CAMBRIDGE,,04/08/2015,3
a8adc815b953b47cf591fddfa0c3c586,11 CHECKERBERRY SHREWSBURY MA,11 CHECKERBERRY,SHREWSBURY,,10/29/2015,3
900f23b832e980f8db5f1ef0d47f680d,11 CLEVELAND DARTMOUTH MA,11 CLEVELAND,DARTMOUTH,,10/27/2016,3
d5ac7bb71b499787a2310223b168337b,11 COLLINS HUDSON MA,11 COLLINS,HUDSON,,08/20/2014,3
0e5dafe7613b0d185daf19d6cc8552a6,11 EASTERN HYDE PARK MA,11 EASTERN,HYDE PARK,,03/03/2016,3
6e433f3ad4bf733f8eba5215c50c8e65,11 EDDY FAIRHAVEN MA,11 EDDY,FAIRHAVEN,,08/04/2014,3
6e6ed3765491ff9e15e79ae4fa0f37e3,11 EDGEWORTH DARTMOUTH MA,11 EDGEWORTH,DARTMOUTH,,08/08/2014,3
1c4a2d615c58c42ff3344b83e0504874,11 FAYETTE CAMBRIDGE MA,11 FAYETTE,CAMBRIDGE,,04/19/2016,3
6b947f37512098db9336bd48df1092dd,11 FIRGLADE WORCESTER MA,11 FIRGLADE,WORCESTER,,12/12/2014,3
dce4a8e2bb54aac7fe67fce2e93b4567,11 HADWEN WORCESTER MA,11 HADWEN,WORCESTER,,06/21/2005,3
cb360bcc68661dcbe081f14f2e6fb6b8,11 HALL SOMERVILLE MA,11 HALL,SOMERVILLE,,09/29/2015,3
1a8928132717a97e7f9ec40417d4793a,11 HARRINGTON RIDGE SHERBORN MA,11 HARRINGTON RIDGE,SHERBORN,,10/01/2014,3
36c684181cca436832c3f55693e322ed,11 HAZELTINE UPTON MA,11 HAZELTINE,UPTON,,09/02/2015,3
a407270d4eade700593df741799467f6,11 HILLSIDE MATTAPOISETT MA,11 HILLSIDE,MATTAPOISETT,,09/10/2014,3
4ab76c59d32d1de5afa244984c0e1af4,11 HURON CAMBRIDGE MA,11 HURON,CAMBRIDGE,,02/27/2015,3
d0618507b4bbd91e980ca25be45ac10a,11 JOANNE WESTBOROUGH MA,11 JOANNE,WESTBOROUGH,,08/30/2016,3
dad7d63980ee99a69c25024a0f4c9847,11 LAUREL FAIRHAVEN MA,11 LAUREL,FAIRHAVEN,,09/15/2014,3
dc415629c7531e7dbf53fc03e0787911,11 LINCOLN MILLBURY MA,11 LINCOLN,MILLBURY,,11/01/2016,3
267e0b163011bee174f06d7c71a970c6,11 MARTIN MATTAPOISETT MA,11 MARTIN,MATTAPOISETT,,09/10/2014,3
6e741b31df9b2c2a83886b1690719ab2,11 MATTSON WORCESTER MA,11 MATTSON,WORCESTER,,12/02/2014,3
f0b192339f56d4ff04900a52064186b9,11 MAYFAIR DEDHAM MA,11 MAYFAIR,DEDHAM,,08/29/2014,3
d3f1444b908ab0e3b1b409f861ff2f1b,11 MIDDLE ACUSHNET MA,11 MIDDLE,ACUSHNET,,08/20/2014,3
a9feea4fe826105c8aea26678dc89c93,11 MIDDLE DARTMOUTH MA,11 MIDDLE,DARTMOUTH,,08/27/2014,3
a91762943f9380b58893e07176b870a1,11 MORTON FRAMINGHAM MA,11 MORTON,FRAMINGHAM,,10/14/2016,3
eacbbca09d87e0e32c0ed9fa19b6873d,11 NEW ACRE HYDE PARK MA,11 NEW ACRE,HYDE PARK,,07/13/2016,3
bbddfaf19c95b9ad8bdfca0092699b77,11 PARIS MARLBORO MA,11 PARIS,MARLBORO,,10/08/2016,3
a95d30a75f23c1212b5db878e58a5b4a,11 PLEASANT ACUSHNET MA,11 PLEASANT,ACUSHNET,,12/06/2016,3
bba2a717150882cb2c3b960bb44988b6,11 PLEASANT UPTON MA,11 PLEASANT,UPTON,,03/11/2016,3
e4ca7e64fbe9351ca64afd1cae706f4f,11 ROYCE FRAMINGHAM MA,11 ROYCE,FRAMINGHAM,,11/17/2014,3
5af8603814138dd1b13e51a0853a50c2,11 SEVER WORCESTER MA,11 SEVER,WORCESTER,,11/21/2014,3
10988bb76ce93c2d5598b5c31df0118c,11 SPRINGHILL FAIRHAVEN MA,11 SPRINGHILL,FAIRHAVEN,,10/21/2014,3
a7d749c83963521b9859971dbf227271,11 SUNCREST HYDE PARK MA,11 SUNCREST,HYDE PARK,,11/05/2015,3
0ec90c60b89b7ff69cf0a95f56f2b4d3,11 TATTAN FARM WORCESTER MA,11 TATTAN FARM,WORCESTER,,08/21/2014,3
fb7be64e06d684788067040e29d20082,11 WEST MILFORD MA,11 WEST,MILFORD,,06/27/2016,3
924945c9458cbd63f841b3b1ede0d068,11 WEST MAPLE MILFORD MA,11 WEST MAPLE,MILFORD,,09/04/2014,3
f723b101aebb60347cf9d5193d23e270,11-15 PARKER MAYNARD MA,11-15 PARKER,MAYNARD,,05/17/2016,2
42acaf64777ddf48d3dc15a4d7856c07,11-16-24 SHIRLEY FAIRHAVEN MA,11-16-24 SHIRLEY,FAIRHAVEN,,12/17/2015,3
0c237729ccb11eee98b5aa6dbbd6a9d3,110 ALEXANDER FRAMINGHAM MA,110 ALEXANDER,FRAMINGHAM,,06/25/2015,3
a48955e70aee96ec26662802be47d723,110 BOSTON SOMERVILLE MA,110 BOSTON,SOMERVILLE,,08/19/2014,3
8fc6d7210c4d7a5acad8de021d048377,110 IRVING CAMBRIDGE MA,110 IRVING,CAMBRIDGE,,12/12/2016,3
8fc6d7210c4d7a5acad8de021d048377,110 IRVING CAMBRIDGE MA,110 IRVING,CAMBRIDGE,,12/12/2016,3
