TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
UPTON,11 HAZELTINE,,3,09/02/2015,
MATTAPOISETT,11 HILLSIDE,,3,09/10/2014,
CAMBRIDGE,11 HURON,,3,02/27/2015,
WESTBOROUGH,11 JOANNE,,3,08/30/2016,
FAIRHAVEN,11 LAUREL,,3,09/15/2014,
MILLBURY,11 LINCOLN,,3,11/01/2016,
MATTAPOISETT,11 MARTIN,,3,09/10/2014,
WORCESTER,11 MATTSON,,3,12/02/2014,
DEDHAM,11 MAYFAIR,,3,08/29/2014,
ACUSHNET,11 MIDDLE,,3,08/20/2014,
DARTMOUTH,11 MIDDLE,,3,08/27/2014,
FRAMINGHAM,11 MORTON,,3,10/14/2016,
HYDE PARK,11 NEW ACRE,,3,07/13/2016,
MARLBORO,11 PARIS,,3,10/08/2016,
ACUSHNET,11 PLEASANT,,3,12/06/2016,
UPTON,11 PLEASANT,,3,03/11/2016,
FRAMINGHAM,11 ROYCE,,3,11/17/2014,
WORCESTER,11 SEVER,,3,11/21/2014,
FAIRHAVEN,11 SPRINGHILL,,3,10/21/2014,
HYDE PARK,11 SUNCREST,,3,11/05/2015,
WORCESTER,11 TATTAN FARM,,3,08/21/2014,
MILFORD,11 WEST,,3,06/27/2016,
MILFORD,11 WEST MAPLE,,3,09/04/2014,
MAYNARD,11-15 PARKER,,2,05/17/2016,
FAIRHAVEN,11-16-24 SHIRLEY,,3,12/17/2015,
FRAMINGHAM,110 ALEXANDER,,3,06/25/2015,
SOMERVILLE,110 BOSTON,,3,08/19/2014,
CAMBRIDGE,110 IRVING,,3,12/12/2016,
CAMBRIDGE,110 IRVING,,3,12/12/2016,
DARTMOUTH,110 PROSPECT,,3,10/29/2013,
ASHLAND,110 WEST UNION,,3,11/19/2015,
WESTBOROUGH,11004 AMBASSADOR,,3,07/15/2016,
NEW BEDFORD,1101 VICTORIA,,3,06/30/2015,
WORCESTER,111 BLUE BELL,,3,08/23/2016,
HYDE PARK,111 CHESTERFIELD,,3,04/25/2016,
CAMBRIDGE,111 INMAN,,3,12/07/2016,
HYDE PARK,111 MILTON,,3,08/22/2016,
NATICK,111 SPEEN,,3,11/29/2016,
HYDE PARK,111 WILLIAMS,,3,06/15/2016,
WEST BOYLSTON,111 WORCESTER,,3,05/07/2014,
NEEDHAM,1116 GREAT PLAIN,,3,08/13/2014,
WORCESTER,112 ARARAT,,3,08/14/2014,
NEW BEDFORD,112 BRYANT,,3,05/26/2016,
NEW BEDFORD,112 COTTAGE,,3,06/24/2014,
HYDE PARK,112 DALE,,3,10/23/2014,
WORCESTER,112 GROVE,,3,05/30/2014,
WORCESTER,112 MILL,,3,10/28/2016,
CAMBRIDGE,112 MOUNT AUBURN,,3,05/25/2016,
MARLBORO,112 SANDINI,,3,11/09/2015,
DEDHAM,112 WALNUT,,3,09/30/2014,
WORCESTER,113 ARARAT,,3,08/14/2014,
NEW BEDFORD,113 CARROLL,,3,05/10/2016,
HYDE PARK,113 CENTRAL,,3,10/15/2014,
CAMBRIDGE,113 INMAN,,3,11/17/2014,
MARION,113 SPRING,,3,09/30/2014,
WORCESTER,1135 PLEASANT,,3,10/27/2014,
WORCESTER,114 CHANDLER,,3,11/23/2016,
WORCESTER,114 EPWORTH,,3,09/16/2016,
SHREWSBURY,114 FRANCIS,,3,08/24/2016,
MAYNARD,114 POWDER MILL,,3,12/08/2016,
ASHLAND,114 WAVERLY,,3,06/05/2014,
WEST BOYLSTON,114 WORCESTER,,3,11/24/2014,
NEW BEDFORD,114-116 WEST HILL,,3,06/06/2014,
DEDHAM,1145 EAST,,3,08/21/2014,
WORCESTER,1145 PLEASANT,,3,08/05/2015,
NEEDHAM,115 BEAUFORT,,3,04/06/2015,
CAMBRIDGE,115 BRATTLE,,3,12/27/2016,
FRAMINGHAM,115 EDGEWATER,,3,11/21/2014,
WORCESTER,115 FLAGG,,3,12/15/2016,
HUDSON,115 LINCOLN ST,,3,09/10/2014,
WORCESTER,115 MILL,,3,10/08/2014,
CAMBRIDGE,115 PACIFIC,,3,09/01/2015,
WORCESTER,115 STAFFORD,,3,12/30/2016,
WORCESTER,1158 MAIN,,3,10/03/2014,
WORCESTER,116 BELMONT,,3,08/28/2014,
CAMBRIDGE,116 BISHOP RICHARD ALLEN,,3,09/09/2014,
DEDHAM,116 COLBURN,,3,11/29/2016,
WORCESTER,116 COMMONWEALTH,,3,10/08/2014,
WESTBOROUGH,116 SOUTH,,3,08/03/2016,
WORCESTER,1168 MAIN,,3,10/03/2014,
WESTBOROUGH,117 EAST MAIN,,3,12/16/2014,
HYDE PARK,117 GARFIELD,,3,07/14/2016,
FRAMINGHAM,117 KENDALL,,3,07/22/2015,
WORCESTER,117 PLANTATION,,3,10/31/2014,
NORTHBRIDGE,117 SHERYL,,3,05/19/2016,
MILFORD,117 SOUTH MAIN,,3,05/29/2015,
WORCESTER,117 VALE,,3,06/09/2014,
WORCESTER,117 WARNER,,3,12/05/2016,
HYDE PARK,1171 HYDE PARK,,3,11/25/2014,
HYDE PARK,118 CLARE,,3,05/18/2016,
WORCESTER,118 HAMILTON ST,,3,10/24/2014,
WORCESTER,118 HOLDEN,,3,10/23/2014,
NEW BEDFORD,118 IRVINGTON,,3,05/19/2014,
WORCESTER,118 MILL,,3,09/28/2015,
WORCESTER,118 NORFOLK,,3,10/24/2014,
FRAMINGHAM,118 SUMMER,,3,11/23/2016,
NEW BEDFORD,119 ACUSHNET,,3,06/30/2016,
WEST BOYLSTON,119 CENTRAL,,3,05/08/2014,
WORCESTER,119 FOREST,,3,10/01/2014,
DEDHAM,119 GREENSBORO,,3,08/26/2014,
NEW BEDFORD,119 LOWELL,,3,05/15/2014,
WORCESTER,119 MOWER,,3,10/23/2014,
UXBRIDGE,119 NORTH MAIN,,3,10/24/2016,
NEW BEDFORD,119 SOUTH SECOND,,3,06/30/2016,
HYDE PARK,119 WINDHAM,,3,11/13/2014,
CAMBRIDGE,119 WINDSOR,,3,08/07/2015,
WORCESTER,1192 MAIN,,3,11/02/2016,
WORCESTER,1194 MAIN,,3,11/02/2016,
WORCESTER,12 ALGONQUIN,,3,11/05/2015,
MARLBORO,12 ANDREWS,,3,10/29/2015,
HUDSON,12 APPLETON,,3,10/06/2016,
FAIRHAVEN,12 BAKER,,3,09/17/2014,
FAIRHAVEN,12 BAKER,,3,09/17/2014,
MATTAPOISETT,12 BAPTIST ST,,3,08/28/2014,
FRAMINGHAM,12 BERKSHIRE,,3,08/04/2015,
