TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
SHREWSBURY,21 COLONIAL,,3,09/10/2015,
WORCESTER,21 COLONIAL,,3,10/25/2016,
WORCESTER,21 CRESTON,,3,10/30/2014,
MILFORD,21 EAST,,3,07/06/2015,
WESTBOROUGH,21 EAST MAIN,,3,12/07/2015,
WEST BOYLSTON,21 EVANS,,3,11/21/2014,
GRAFTON,21 FERRY,,3,07/31/2015,
SHREWSBURY,21 GENERAL,,3,12/02/2014,
CAMBRIDGE,21 KIRKLAND,,3,09/15/2016,
NEW BEDFORD,21 MOSHER,,3,07/08/2014,
HYDE PARK,21 MYOPIA,,3,09/08/2016,
WORCESTER,21 NORTHBORO,,3,12/06/2016,
MILLBURY,21 PROVIDENCE,,3,06/08/2016,
SOMERVILLE,21 RUSSELL,,3,08/29/2014,
FRAMINGHAM,21 SALEM END,,3,11/25/2014,
DEDHAM,21 SHIRETOWN,,3,09/24/2014,
WESTWOOD,21 STRASSER,,3,07/09/2015,
NEW BEDFORD,21 SYCAMORE,,3,06/19/2014,
WORCESTER,21 TIVERTON,,3,10/13/2016,
MARLBORO,21 TUCKER,,3,10/05/2016,
UPTON,21 WILLIAMS,,3,08/11/2016,
FAIRHAVEN,21-22 HAMLET,,3,05/08/2014,
WORCESTER,21-23 CROWN,,3,11/21/2014,
CAMBRIDGE,210 BROADWAY,,3,08/17/2015,
NEW BEDFORD,210 CAROLINE,,3,06/03/2016,
WORCESTER,210 PROVIDENCE ST,,3,08/29/2014,
NEW BEDFORD,210-212 BRANSCOMB,,3,04/08/2015,
HOPKINTON,211 ASH,,3,08/13/2014,
WORCESTER,211 DEWEY,,3,08/11/2016,
GRAFTON,213 WORCESTER,,3,04/07/2015,
WORCESTER,214 AUSTIN,,3,06/06/2014,
WORCESTER,214 CAMBRIDGE,,3,09/12/2016,
FRAMINGHAM,214 WATER,,3,10/22/2014,
WORCESTER,214 WEATHERSTONE,,3,12/12/2014,
PLYMOUTH,215 CARVER,,3,05/13/2014,
HYDE PARK,215 DANA,,3,07/06/2016,
FAIRHAVEN,215 GREEN,,3,10/01/2014,
BOYLSTON,215 MAIN,,3,11/03/2016,
NEW BEDFORD,215 WELD,,3,08/03/2016,
CAMBRIDGE,216 BROADWAY,,3,06/02/2015,
WORCESTER,217 DEWEY,,3,08/11/2016,
ASHLAND,217 EAST UNION,,3,05/23/2014,
WORCESTER,218 SHREWSBURY,,3,04/23/2015,
GRAFTON,218 WORCESTER,,3,06/18/2015,
WORCESTER,219 BEVERLY,,3,09/15/2014,
MARLBORO,219 FOREST,,3,12/03/2014,
NATICK,219 NORTH MAIN,,3,04/11/2016,
MARION,22 ALLEN,,3,09/22/2014,
SOMERVILLE,22 ASHLAND,,3,11/19/2014,
MARLBORO,22 ASHLEY,,3,08/18/2015,
HYDE PARK,22 BRAEBURN,,3,06/28/2016,
FAIRHAVEN,22 BRIERCLIFFE,,3,08/26/2014,
MARLBORO,22 CLOVER HILL,,3,07/15/2015,
WORCESTER,22 COLONIAL,,3,05/15/2015,
MILLBURY,22 CROYDEN,,3,11/07/2014,
FRAMINGHAM,22 DRISCOLL,,3,10/23/2014,
FAIRHAVEN,22 EVERGREEN,,3,07/24/2014,
MAYNARD,22 GEORGE,,3,09/23/2015,
WORCESTER,22 GOLDTHWAITE,,3,12/03/2014,
HYDE PARK,22 GREENBROOK,,3,08/26/2016,
WORCESTER,22 IONIC,,3,10/26/2016,
HUDSON,22 LEE,,3,07/14/2016,
MARLBORO,22 LIBBY,,3,10/23/2014,
HYDE PARK,22 MANILA,,3,04/25/2016,
HUDSON,22 MANNING,,3,09/10/2014,
MARION,22 MAPLE,,3,09/10/2016,
WORCESTER,22 NORTH,,3,10/17/2014,
MAYNARD,22 O'MOORE,,3,12/05/2016,
WESTWOOD,22 PHILLIPS BROOKS,,3,07/13/2015,
WORCESTER,22 ROLLINSON,,3,04/30/2014,
HOLLISTON,22 SPRUCE,,3,12/29/2015,
NORTHBORO,22 STONE,,3,12/09/2016,
FAIRHAVEN,22 TRIPP,,3,08/29/2014,
WORCESTER,22 WARD,,3,09/08/2014,
HYDE PARK,22 WASHINGTON,,3,12/10/2013,
MILFORD,22 WATER,,3,09/23/2014,
WORCESTER,22-24 AIRLIE,,3,09/08/2016,
CAMBRIDGE,220-222 PROSPECT,,3,07/21/2015,
CAMBRIDGE,2203 MASSACHUSETTS,,3,10/15/2014,
MILFORD,221-227 MAIN,,3,06/15/2016,
CAMBRIDGE,2218 MASSACHUSETTS,,3,06/09/2016,
MARLBORO,222 HUDSON,,3,10/31/2014,
HOLLISTON,222 OAK,,3,06/14/2016,
CAMBRIDGE,2222 MASSACHUSETTS,,3,04/28/2014,
CAMBRIDGE,223 BROADWAY,,3,08/17/2015,
HYDE PARK,224 WEST,,3,05/17/2016,
DEDHAM,225 COURT,,3,08/18/2014,
HYDE PARK,225 DANA,,3,10/28/2014,
NEW BEDFORD,225 RYAN,,3,06/26/2014,
WORCESTER,225 SHREWSBURY,,3,10/02/2014,
HYDE PARK,226 FAIRMOUNT,,3,01/15/2016,
NEW BEDFORD,226 IRVINGTON,,3,09/21/2015,
CAMBRIDGE,226 WINDSOR,,3,08/10/2015,
WORCESTER,226-228 PARK,,3,11/03/2014,
NEW BEDFORD,227 CARROLL,,3,05/10/2016,
WORCESTER,228 BURNCOAT,,3,09/29/2014,
NEW BEDFORD,228 HIGHLAND,,3,06/04/2014,
WORCESTER,228 LINCOLN,,3,11/05/2014,
WORCESTER,229 BEVERLY,,3,08/28/2014,
NEW BEDFORD,229 HERSOM,,3,09/14/2015,
WORCESTER,229 SOUTHBRIDGE,,3,09/04/2014,
CAMBRIDGE,2294 MASSACHUSETTS,,3,05/14/2014,
CAMBRIDGE,23 BAY STATE,,3,04/15/2016,
FAIRHAVEN,23 BONNEY,,3,08/13/2014,
WORCESTER,23 BURNCOAT,,3,09/26/2014,
HUDSON,23 CHAMPLAIN,,3,10/13/2016,
CAMBRIDGE,23 CONCORD,,3,07/24/2014,
MILLBURY,23 ELMWOOD,,3,11/14/2014,
CAMBRIDGE,23 EVERETT,,3,10/23/2014,
FRAMINGHAM,23 FOSTER,,3,12/08/2014,
WORCESTER,23 GRAND,,3,09/26/2014,
HYDE PARK,23 HALSEY,,3,07/26/2016,
FAIRHAVEN,23 HOPKINS,,3,10/22/2014,
NATICK,23 INDIAN RIDGE,,3,09/05/2014,
NATICK,23 KELSEY,,3,07/31/2014,
WORCESTER,23 KING,,3,12/11/2014,
MILLBURY,23 LESLIE,,3,11/03/2015,
FRAMINGHAM,23 LOWE,,3,06/28/2012,
DEDHAM,23 MASSACHUSETTS,,3,09/05/2014,
WORCESTER,23 MAYFAIR,,3,11/14/2016,
WESTBOROUGH,23 OLDHAM,,3,08/18/2016,
WORCESTER,23 SAINT ELMO,,3,07/13/2015,
FAIRHAVEN,23 SEAVIEW,,3,08/25/2014,
WORCESTER,23 WILSON,,3,09/05/2014,
HYDE PARK,23 WINDHAM,,3,11/13/2014,
KINGSTON,23 WINTER,,3,07/07/2015,
SOMERVILLE,23-25 CHETWYND,,3,09/17/2015,
MARLBORO,232 COOK,,3,03/29/2015,
WORCESTER,233 BEVERLY,,3,08/26/2014,
NEEDHAM,233 NEHOIDEN,,3,12/05/2014,
FAIRHAVEN,234 ADAMS,,3,10/31/2014,
FAIRHAVEN,234 ADAMS ST,,3,10/02/2014,
HYDE PARK,234 FAIRMOUNT,,3,01/05/2016,
MILLBURY,234 MILLBURY,,3,11/07/2014,
HUDSON,234 WASHINGTON,,3,08/25/2014,
WEST BOYLSTON,235 LANCASTER,,3,11/21/2014,
WORCESTER,236 MAY,,3,11/09/2016,
WEST BOYLSTON,237 LANCASTER,,3,11/21/2014,
MARLBORO,237 MILLHAM,,3,11/17/2014,
WORCESTER,237 PARK,,3,11/03/2014,
NEW BEDFORD,237 QUERY,,3,05/23/2014,
WORCESTER,237 SAINT NICHOLAS,,3,12/19/2016,
NEW BEDFORD,237-242 RYAN,,3,06/26/2014,
FRAMINGHAM,238 BEACON,,3,08/27/2013,
WORCESTER,238 MAY,,3,09/08/2015,
UXBRIDGE,239 NORTH MAIN,,3,10/05/2015,
NEW BEDFORD,239 PRINCETON,,3,05/19/2014,
WEST BOYLSTON,24 BLUE RIDGE,,3,11/19/2014,
WEST BOYLSTON,24 BOWEN,,3,11/20/2014,
WORCESTER,24 CLARIDGE,,3,10/23/2014,
NEW BEDFORD,24 COVE,,3,07/10/2014,
WORCESTER,24 CREST,,3,05/16/2016,
MILFORD,24 DEPOT,,3,08/15/2016,
DEDHAM,24 FAIR OAKS,,3,08/22/2014,
CAMBRIDGE,24 FISKE,,3,01/05/2016,
MARLBORO,24 HAMILTON,,3,09/30/2016,
FRAMINGHAM,24 HIGHGATE,,3,10/29/2014,
FAIRHAVEN,24 HIGHLAND,,3,06/11/2015,
FAIRHAVEN,24 HOLIDAY,,3,08/25/2014,
WESTBOROUGH,24 LYMAN,,3,10/01/2014,
KINGSTON,24 MAIN,,3,05/18/2015,
MATTAPOISETT,24 MAIN,,3,09/26/2014,
WORCESTER,24 MARION,,3,12/06/2016,
MILLBURY,24 MARTIN,,3,11/10/2014,
MARLBORO,24 MCGEE,,3,06/26/2015,
MILFORD,24 PEARL,,3,01/05/2016,
HYDE PARK,24 PLEASANT,,3,07/22/2016,
CAMBRIDGE,24 QUINCY,,3,08/05/2015,
HYDE PARK,24 THOMPSON,,3,06/07/2016,
DARTMOUTH,24 VILLAGE,,3,08/10/2015,
WORCESTER,24 WAYNE,,3,07/07/2016,
NEW BEDFORD,24 WING,,3,06/25/2014,
WORCESTER,24 WYOLA,,3,09/08/2016,
HYDE PARK,24-26 SILVIA,,3,08/26/2016,
FAIRHAVEN,240 ADAMS,,3,11/25/2015,
CAMBRIDGE,240 BRATTLE,,3,08/15/2016,
WORCESTER,240 MAY,,3,10/16/2014,
CAMBRIDGE,2401 MASSACHUSETTS,,3,05/04/2015,
NEW BEDFORD,241 CARROLL,,3,05/10/2016,
NATICK,241 WEST CENTRAL,,3,04/05/2016,
NEW BEDFORD,2416 ACUSHNET,,3,08/28/2014,
MARLBORO,242 HUDSON,,3,11/28/2014,
NEW BEDFORD,2422 ACUSHNET,,3,09/08/2014,
WORCESTER,243 CANTERBURY,,3,12/08/2016,
WEST BOYLSTON,243 LANCASTER,,3,05/30/2014,
WORCESTER,243 MILLBURY,,3,10/23/2014,
WORCESTER,244 JUNE,,3,12/05/2014,
CAMBRIDGE,245 HAMPSHIRE,,3,12/08/2014,
NEW BEDFORD,245 IRVINGTON,,3,05/19/2014,
WORCESTER,246 VERNON,,3,12/07/2016,
CAMBRIDGE,2465 MASSACHUSETTS,,3,03/31/2016,
CAMBRIDGE,247 WALDEN,,3,12/22/2016,
GRAFTON,248 ASHLAND,,3,10/07/2015,
WORCESTER,248 LINCOLN,,3,05/29/2014,
FRAMINGHAM,248 WORCESTER,,3,11/29/2016,
HYDE PARK,248-250 AUSTIN,,3,05/12/2016,
NEW BEDFORD,2488 ACUSHNET,,3,11/18/2015,
HYDE PARK,249 RESERVATION,,3,05/23/2016,
WORCESTER,25 ASSABET,,3,09/17/2015,
SOMERVILLE,25 ATHERTON,,3,12/05/2016,
FAIRHAVEN,25 BRAE,,3,08/08/2014,
CAMBRIDGE,25 CARLETON,,3,10/22/2014,
HYDE PARK,25 CHESTNUT,,3,08/26/2016,
DARTMOUTH,25 DELANO,,3,06/03/2014,
WORCESTER,25 DUXBURY,,3,12/03/2014,
HYDE PARK,25 ELM,,3,09/08/2016,
AUBURN,25 FIELD,,3,12/27/2016,
FRAMINGHAM,25 FOSTER,,3,10/28/2011,
WORCESTER,25 GOVERNORS,,3,07/22/2015,
SOMERVILLE,25 HAWTHORNE,,3,09/17/2014,
WESTWOOD,25 HILLVIEW,,3,08/05/2016,
WORCESTER,25 HUNNEWELL,,3,06/13/2013,
SHREWSBURY,25 KINGLET,,3,09/06/2016,
FRAMINGHAM,25 KNIGHT,,3,11/03/2014,
FAIRHAVEN,25 LINDEN,,3,10/01/2014,
NEW BEDFORD,25 MANDELL,,3,07/13/2016,
WORCESTER,25 MARION,,3,12/04/2014,
SOUTHBOROUGH,25 PARK,,3,12/16/2016,
MILFORD,25 POND,,3,01/05/2016,
KINGSTON,25 RIVERSIDE,,3,07/03/2014,
MARION,25 SPRING,,3,11/05/2015,
MILFORD,25 WALNUT,,3,06/10/2014,
UPTON,25 WILLIAMS,,3,11/10/2016,
MARLBORO,25 WITHERBEE,,3,08/06/2015,
NEW BEDFORD,250 CHURCH,,3,05/23/2014,
WORCESTER,250 COBURN,,3,10/07/2014,
WORCESTER,250 JUNE,,3,11/05/2014,
WORCESTER,250 MAY,,3,11/09/2016,
WEST BOYLSTON,250 WORCESTER,,3,05/06/2014,
CAMBRIDGE,2505 MASSACHUSETTS,,3,12/21/2015,
WORCESTER,251 MAY,,3,10/16/2014,
WORCESTER,251 MAY,,3,11/06/2014,
NEW BEDFORD,251 STATE,,3,06/11/2014,
NEW BEDFORD,251-253 IRVINGTON,,3,09/21/2015,
CAMBRIDGE,2512 MASSACHUSETTS,,3,04/16/2014,
WORCESTER,253 CAMBRIDGE,,3,09/29/2014,
WORCESTER,253 JUNE,,3,12/05/2014,
WORCESTER,253 LOVELL,,3,10/16/2014,
WESTWOOD,253 POND,,3,12/29/2014,
WESTWOOD,253 WASHINGTON,,3,03/06/2013,
SOMERVILLE,254 MCGRATH,,3,12/14/2015,
WORCESTER,254 SOUTHWEST,,3,12/01/2016,
SOMERVILLE,255 BEACON,,3,09/03/2014,
MILLBURY,256 MILLBURY,,3,11/07/2014,
NEEDHAM,257 HIGH ROCK,,3,12/19/2014,
WORCESTER,257 LOVELL,,3,12/16/2016,
WORCESTER,257 MOWER,,3,10/07/2015,
WORCESTER,26 BLAINE,,3,11/03/2016,
HYDE PARK,26 BRAEBURN,,3,06/28/2016,
DARTMOUTH,26 BRIDGE,,3,08/25/2014,
HOLLISTON,26 CHRISTOPHER,,3,06/09/2016,
WORCESTER,26 COMMODORE,,3,07/07/2015,
MILFORD,26 DEPOT,,3,08/15/2016,
WORCESTER,26 DERBY,,3,05/27/2014,
CAMBRIDGE,26 ELLERY,,3,08/12/2014,
FAIRHAVEN,26 FARMFIELD,,3,09/16/2014,
WORCESTER,26 FISKE,,3,11/09/2016,
FAIRHAVEN,26 HAMLET,,3,07/28/2014,
SOMERVILLE,26 HAWTHORNE,,3,09/17/2014,
WORCESTER,26 LAURIER,,3,11/30/2015,
DEDHAM,26 LOWDER,,3,12/01/2016,
FRAMINGHAM,26 LYMAN,,3,11/04/2014,
HYDE PARK,26 MANION,,3,05/27/2016,
WORCESTER,26 MARLAND,,3,11/05/2014,
WORCESTER,26 MAY,,3,11/18/2016,
DEDHAM,26 MORELAND,,3,09/11/2014,
WORCESTER,26 NAVASOTA,,3,10/23/2014,
DARTMOUTH,26 PALMER,,3,07/24/2015,
HOLLISTON,26 ROBERT,,3,12/28/2016,
HYDE PARK,26 RUFFING,,3,09/14/2016,
NATICK,26 STRATFORD,,3,05/24/2016,
HUDSON,26 STRATTON,,3,08/22/2014,
MILLBURY,26 SULLIVAN,,3,11/10/2014,
DARTMOUTH,26 SWIFT,,3,09/10/2014,
MARLBORO,26 VINE,,3,07/15/2015,
MARLBORO,26 WILSON,,3,11/06/2014,
WORCESTER,26 WYOLA,,3,11/01/2016,
BOYLSTON,260 SHREWSBURY,,3,10/15/2013,
MARLBORO,262 KINGS GRANT,,3,11/25/2014,
WORCESTER,262 MAY,,3,10/29/2014,
HOLLISTON,263 SOUTH,,3,07/06/2016,
WEST BOYLSTON,264 LANCASTER,,3,07/08/2015,
WORCESTER,265 MOWER,,3,10/07/2015,
WESTWOOD,265 WASHINGTON,,3,11/26/2013,
WORCESTER,266 LOVELL,,3,06/11/2015,
CAMBRIDGE,266 MASSACHUSETTS,,3,12/04/2014,
MILLBURY,266 MILLBURY,,3,11/07/2014,
NORTHBRIDGE,2667 PROVIDENCE,,3,10/20/2016,
SOMERVILLE,267 SUMMER,,3,06/03/2014,
HYDE PARK,268 HUNTINGTON,,3,05/06/2016,
NORTHBORO,269-1 WEST MAIN,,3,04/15/2015,
NORTHBORO,269-2 WEST MAIN,,3,04/15/2015,
FAIRHAVEN,27 ASH,,3,09/29/2014,
NEEDHAM,27 BEECH,,3,03/12/2015,
HYDE PARK,27 BEECHMONT,,3,09/14/2016,
FRAMINGHAM,27 BELVIDERE,,3,11/18/2014,
FAIRHAVEN,27 BIRCHFIELD,,3,03/24/2016,
FAIRHAVEN,27 CHURCH,,3,09/16/2014,
NEW BEDFORD,27 CLARENDON,,3,06/01/2016,
WORCESTER,27 COLONIAL,,3,10/25/2016,
SOMERVILLE,27 DIMICK,,3,09/12/2016,
WORCESTER,27 DUXBURY,,3,09/29/2014,
HYDE PARK,27 FARRAR,,3,09/13/2016,
HYDE PARK,27 HALSEY,,3,11/14/2014,
WORCESTER,27 IVERNIA,,3,12/09/2014,
WESTWOOD,27 LORING,,3,11/27/2013,
MARLBORO,27 MACKAY,,3,10/19/2015,
NEW BEDFORD,27 MERIAM,,3,07/02/2014,
HOLLISTON,27 PAUL,,3,10/13/2016,
MARLBORO,27 PIONEER,,3,11/06/2014,
MILLBURY,27 PROVIDENCE,,3,11/13/2014,
SOMERVILLE,27 SCHOOL,,3,09/18/2014,
WORCESTER,27 SHAMROCK,,3,11/01/2016,
CAMBRIDGE,27 SIXTH,,3,05/25/2016,
HYDE PARK,27 SKYLINE,,3,08/23/2016,
DARTMOUTH,27 SMITH,,3,08/07/2014,
HYDE PARK,27 SUNNYSIDE,,3,11/06/2014,
AUBURN,27 SWORD,,3,11/05/2014,
WORCESTER,27 TALLAWANDA,,3,04/10/2015,
DEDHAM,27 VINCENT,,3,10/29/2014,
NATICK,27 WELLESLEY,,3,06/09/2014,
MAYNARD,27-29 CRANE,,3,10/22/2014,
WORCESTER,270 COBURN,,3,02/23/2015,
WORCESTER,271 SAINT NICHOLAS,,3,12/19/2016,
MILLBURY,274 MILLBURY,,3,11/07/2014,
WORCESTER,274 SAINT NICHOLAS,,3,08/06/2015,
NEW BEDFORD,2746 ACUSHNET,,3,08/27/2014,
SOMERVILLE,275 BEACON,,3,05/10/2016,
MILFORD,276 MAIN,,3,09/16/2014,
AUBURN,276 SOUTHBRIDGE,,3,12/27/2016,
HYDE PARK,276 WOOD,,3,06/13/2016,
SOMERVILLE,278 BEACON,,3,09/02/2014,
CAMBRIDGE,28 ARLINGTON,,3,10/23/2014,
DARTMOUTH,28 BREWSTER,,3,08/27/2014,
NATICK,28 CENTRE,,3,09/01/2016,
HYDE PARK,28 CHARLES,,3,10/16/2014,
HYDE PARK,28 CHITTICK,,3,07/18/2016,
WORCESTER,28 CLARIDGE,,3,09/21/2016,
DEDHAM,28 DRESSER,,3,07/03/2014,
NEW BEDFORD,28 EDNA,,3,05/19/2014,
FAIRHAVEN,28 HAMLET,,3,06/10/2015,
CAMBRIDGE,28 HURON,,3,12/09/2016,
WESTWOOD,28 PHILLIPS BROOKS,,3,08/09/2016,
HUDSON,28 POPE,,3,08/03/2014,
CAMBRIDGE,28 RIVER,,3,06/29/2015,
HYDE PARK,28 RIVERSIDE,,3,07/11/2016,
MARLBORO,28 SANDINI,,3,07/14/2015,
HUDSON,28 SENECA,,3,09/08/2014,
SHREWSBURY,28 SIAS,,3,08/27/2014,
MILLBURY,28 SUTTON,,3,11/14/2014,
HYDE PARK,28 THOMPSON,,3,08/06/2014,
SOMERVILLE,28 VINAL,,3,07/29/2015,
WORCESTER,28 VOLKMAR,,3,08/23/2016,
WORCESTER,28 WATER,,3,05/12/2015,
FAIRHAVEN,28 WEEDEN,,3,07/30/2014,
CAMBRIDGE,28 WENDELL,,3,08/19/2016,
AUBURN,28 WOODLAND,,3,11/05/2014,
CAMBRIDGE,28-30 SHEPARD,,3,09/01/2016,
DEDHAM,280 BOSTON PROVIDENCE,,3,12/15/2016,
WORCESTER,280 MAY,,3,10/29/2014,
HUDSON,281 WASHINGTON,,3,08/25/2014,
MARLBORO,281 WASHINGTON,,3,10/09/2015,
NEEDHAM,283 BROOKLINE,,3,09/17/2014,
NORTHBORO,284 DAVIS,,3,07/21/2016,
WORCESTER,285 CAMBRIDGE,,3,09/29/2014,
NEW BEDFORD,285 CLIFFORD,,3,08/17/2015,
WORCESTER,285 SALISBURY,,3,11/10/2015,
HOLLISTON,286 WOODLAND,,3,10/11/2016,
WORCESTER,287 LOVELL,,3,06/11/2015,
WORCESTER,287 MAIN,,3,06/03/2015,
WORCESTER,287 PARK,,3,11/03/2014,
NEW BEDFORD,289 BOLTON,,3,05/10/2016,
DEDHAM,29 ASPEN,,3,01/21/2015,
WORCESTER,29 BALL,,3,11/02/2016,
DEDHAM,29 BRIDGE,,3,12/01/2016,
FAIRHAVEN,29 CALUMET,,3,08/27/2014,
SOMERVILLE,29 CHETWYND,,3,08/27/2014,
WORCESTER,29 COPLEY,,3,10/08/2014,
FAIRHAVEN,29 ELM ST,,3,10/01/2014,
WORCESTER,29 FALMOUTH,,3,12/02/2014,
FRAMINGHAM,29 FOSTER,,3,09/22/2015,
SHREWSBURY,29 FOX HILL,,3,09/11/2015,
NEW BEDFORD,29 GOSNOLD,,3,07/03/2014,
SOMERVILLE,29 HALL,,3,08/21/2015,
FAIRHAVEN,29 HAMLET,,3,07/29/2014,
NEW BEDFORD,29 HUNTINGTON,,3,06/01/2016,
SOMERVILLE,29 KIDDER,,3,09/29/2015,
MILFORD,29 LEONARD,,3,11/18/2016,
WORCESTER,29 LOVELL,,3,08/05/2016,
HYDE PARK,29 MAGEE,,3,08/20/2014,
MATTAPOISETT,29 MAIN,,3,08/28/2014,
WORCESTER,29 METCALF,,3,10/23/2014,
DARTMOUTH,29 MISHAWUM,,3,06/27/2016,
MILLBURY,29 NORTH MAIN,,3,04/15/2014,
MILFORD,29 PURDUE,,3,10/22/2015,
HYDE PARK,29 SUNNYSIDE,,3,06/03/2016,
MARLBORO,29 TECUMSEH,,3,10/01/2015,
NATICK,29 VIRGINIA,,3,07/14/2014,
FRAMINGHAM,290 IRVING,,3,06/28/2016,
WORCESTER,290 PARK,,3,11/23/2015,
NORTHBORO,292 MAIN,,3,11/06/2014,
WORCESTER,292 PARK,,3,11/23/2015,
MARLBORO,294 DICENZO,,3,11/24/2014,
MILLBURY,294 MILLBURY,,3,09/26/2014,
WORCESTER,294 MILLBURY,,3,09/29/2015,
WORCESTER,295 LOVELL,,3,10/16/2014,
FAIRHAVEN,295 MAIN,,3,10/28/2005,
WORCESTER,295 PLEASANT,,3,10/30/2014,
WORCESTER,295 SALISBURY,,3,12/23/2016,
MARLBORO,296 VEGA,,3,09/23/2015,
WORCESTER,299 HIGHLAND,,3,11/13/2014,
WORCESTER,2B KNOX,,3,11/04/2016,
WORCESTER,3 ARBOR VITAE,,3,09/13/2016,
WORCESTER,3 ARBOR VITAE,,3,11/02/2016,
MARION,3 BARNABAS,,3,10/02/2014,
HYDE PARK,3 BOW,,3,07/14/2016,
CAMBRIDGE,3 BOWDOIN,,3,09/07/2016,
KINGSTON,3 BROOK,,3,05/05/2016,
FAIRHAVEN,3 CALUMET,,3,08/27/2014,
HOPKINTON,3 CEDAR,,3,05/07/2015,
FRAMINGHAM,3 CHAPPELWOOD,,3,10/21/2014,
WORCESTER,3 CLEGG,,3,10/07/2014,
WESTBOROUGH,3 COLONIAL,,3,07/17/2014,
WORCESTER,3 CUTTING,,3,11/21/2014,
SHERBORN,3 DOPPING BROOK,,3,09/16/2015,
WORCESTER,3 DOUGLAS,,3,11/25/2014,
FAIRHAVEN,3 EDDY,,3,12/15/2016,
MILFORD,3 FORDHAM,,3,09/22/2016,
NEEDHAM,3 FRANCES,,3,10/21/2016,
WORCESTER,3 GILMAN,,3,12/16/2014,
FAIRHAVEN,3 HAMLET,,3,06/12/2012,
WORCESTER,3 IMPERIAL,,3,06/01/2011,
GRAFTON,3 JANET,,3,06/30/2015,
DEDHAM,3 LIBERTY,,3,08/20/2014,
HYDE PARK,3 LINWOOD,,3,06/28/2016,
FAIRHAVEN,3 LONG,,3,09/29/2014,
WORCESTER,3 MONTVALE,,3,11/04/2015,
WORCESTER,3 MOSS,,3,12/02/2014,
MARLBORO,3 MUNROE,,3,08/12/2016,
WORCESTER,3 NEPTUNE,,3,08/08/2014,
FAIRHAVEN,3 NEWTON,,3,10/24/2014,
WORCESTER,3 PELHAM,,3,10/22/2014,
MAYNARD,3 PERCIVAL,,3,10/23/2014,
FAIRHAVEN,3 PLEASANT,,3,07/25/2013,
FAIRHAVEN,3 PRINCE,,3,09/15/2016,
WORCESTER,3 RUTLAND,,3,06/13/2014,
WORCESTER,3 RUTLAND,,3,06/13/2014,
WORCESTER,3 STAFFORD,,3,07/12/2016,
WORCESTER,3 UNCATENA,,3,08/26/2014,
UPTON,3 WHITNEY,,3,09/02/2015,
WORCESTER,3 WINTER HILL,,3,08/17/2016,
WORCESTER,3 WOODMAN,,3,11/09/2016,
WORCESTER,3 WYOLA,,3,09/08/2016,
WORCESTER,30 ADAMS,,3,06/24/2016,
WORCESTER,30 CLARA,,3,10/03/2014,
HUDSON,30 EATON,,3,08/22/2014,
HYDE PARK,30 FRAZER,,3,07/15/2016,
WORCESTER,30 FREMONT,,3,11/16/2016,
MILFORD,30 GRANT,,3,06/25/2015,
HYDE PARK,30 GRASSMERE,,3,11/10/2014,
MARLBORO,30 GREENDALE,,3,08/15/2016,
NATICK,30 HARWOOD,,3,08/13/2014,
SHERBORN,30 MCGREGOR,,3,09/14/2015,
WORCESTER,30 NORTHRIDGE,,3,10/24/2014,
SOMERVILLE,30 PROSPECT,,3,07/10/2015,
MILLBURY,30 SOUTH MAIN,,3,11/10/2014,
FAIRHAVEN,30 WEEDEN,,3,07/30/2014,
FRAMINGHAM,300 GRANT,,3,11/13/2014,
HYDE PARK,300 HUNTINGTON,,3,05/06/2016,
WORCESTER,300 PLANTATION,,3,10/31/2014,
CAMBRIDGE,301 THIRD,,2,12/22/2016,
CAMBRIDGE,301 VASSAR,,3,08/31/2015,
FRAMINGHAM,301-308 WINDSOR,,3,06/02/2015,
GRAFTON,303 PROVIDENCE,,3,12/08/2016,
WEST BOYLSTON,304 LANCASTER,,3,11/21/2014,
HUDSON,304 RIVER,,3,09/04/2014,
FAIRHAVEN,305 MAIN,,3,09/03/2015,
CAMBRIDGE,305 WEBSTER,,3,03/04/2015,
WORCESTER,306 BURNCOAT,,3,08/19/2015,
WORCESTER,306 PLANTATION,,3,10/21/2015,
DEDHAM,307 EAST,,3,10/03/2016,
NEW BEDFORD,3098 ACUSHNET,,3,09/08/2014,
FRAMINGHAM,31 AMERICA,,3,06/12/2015,
HUDSON,31 BROOK,,3,09/05/2014,
DARTMOUTH,31 CHESTNUT,,3,12/16/2014,
DEDHAM,31 CHESTNUT,,3,10/05/2016,
SOMERVILLE,31 COLLEGE AVE,,3,08/21/2015,
WORCESTER,31 COMMONWEALTH,,3,11/28/2014,
SOMERVILLE,31 DIMICK,,3,10/06/2015,
WORCESTER,31 DOWNING ST,,3,12/01/2014,
WORCESTER,31 FALMOUTH,,3,11/20/2014,
HYDE PARK,31 GRASSMERE,,3,11/10/2014,
CAMBRIDGE,31 GRAY GARDENS EAST,,3,08/13/2014,
HYDE PARK,31 HALLRON,,3,09/09/2016,
MENDON,31 HASTINGS,,3,09/30/2014,
FAIRHAVEN,31 HEDGE,,3,10/07/2014,
HUDSON,31 KENT,,3,08/21/2014,
NEW BEDFORD,31 LINDEN,,3,06/27/2016,
WORCESTER,31 LUDLOW,,3,12/08/2014,
NEW BEDFORD,31 MAITLAND,,3,07/28/2016,
