leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
7329953,10 FOX HILL RD,,NEWTON,11/2/16,Not Discovered Yet,Not Discovered Yet,1,11/2/16,MA
7328861,10 FRANCONIA ST,,DORCHESTER,9/9/16,Not Discovered Yet,Not Discovered Yet,2,10/12/16,MA
7327636,10 GARLAND RD,,LINCOLN,7/19/16,Not Discovered Yet,Not Discovered Yet,1,7/19/16,MA
7324767,10 GERALD RD,,MARBLEHEAD,4/21/16,Not Discovered Yet,Not Discovered Yet,1,4/21/16,MA
191764,10 GERTRUDE ST,,WATERTOWN,5/20/00,3,3,2,7/8/16,MA
7323867,10 GORHAM ST,,ARLINGTON,3/8/16,Not Discovered Yet,Not Discovered Yet,2,10/18/16,MA
7329463,10 GRAFTON ST,,SALEM,10/12/16,Not Discovered Yet,Not Discovered Yet,1,10/12/16,MA
7329221,10 GRAY CLIFF RD,,NEWTON,9/29/16,Not Discovered Yet,Not Discovered Yet,1,9/30/16,MA
7324324,10 GREYSTONE RD,,MARBLEHEAD,3/31/16,Not Discovered Yet,Not Discovered Yet,3,4/13/16,MA
7328509,10 HANCOCK ST,,ARLINGTON,8/29/16,Not Discovered Yet,Not Discovered Yet,1,8/29/16,MA
7324559,10 HARRISON AVE,,PEABODY,4/12/16,Not Discovered Yet,Not Discovered Yet,1,5/16/16,MA
7328768,10 HEMLOCK LN,,BEDFORD,9/9/16,Not Discovered Yet,Not Discovered Yet,1,9/10/16,MA
7323839,10 HIGH ST,,AYER,2/23/16,Not Discovered Yet,Not Discovered Yet,2,10/14/16,MA
7326220,10 JASPER ST,,BEVERLY,6/1/16,Not Discovered Yet,Not Discovered Yet,2,6/20/16,MA
7323412,10 KINGS RD,,LYNNFIELD,2/12/16,Not Discovered Yet,Not Discovered Yet,1,2/12/16,MA
7330048,10 LAKESIDE AVE,,QUINCY,11/7/16,Not Discovered Yet,Not Discovered Yet,1,11/7/16,MA
7322636,10 LENNON RD,,ARLINGTON,1/12/16,Not Discovered Yet,Not Discovered Yet,1,1/13/16,MA
7328470,10 LEWIS ST,,MEDFORD,8/22/16,Not Discovered Yet,Not Discovered Yet,1,8/26/16,MA
7323610,10 LEXINGTON ST,,STONEHAM,2/23/16,Not Discovered Yet,Not Discovered Yet,1,2/25/16,MA
7326909,10 LLOYD ST,,WINCHESTER,6/27/16,Not Discovered Yet,Not Discovered Yet,1,6/28/16,MA
7327276,10 LOCKE RD,,NEWTON,7/5/16,Not Discovered Yet,Not Discovered Yet,2,7/28/16,MA
7330874,10 LOCKE RD,,NEWTON,12/25/16,Not Discovered Yet,Not Discovered Yet,1,12/27/16,MA
7330929,10 LOCKE RD,,NEWTON,12/28/16,Not Discovered Yet,Not Discovered Yet,1,12/28/16,MA
7329777,10 LOWELL AVE,,WINCHESTER,10/26/16,Not Discovered Yet,Not Discovered Yet,1,10/27/16,MA
7329869,10 LOWELL AVE,,WINCHESTER,10/28/16,Not Discovered Yet,Not Discovered Yet,3,10/31/16,MA
7324176,10 LOWELL ST,,PEABODY,3/25/16,Not Discovered Yet,Not Discovered Yet,1,4/5/16,MA
5567224,10 MEAD RD,,ARLINGTON,7/2/15,Not Discovered Yet,3,2,9/8/16,MA
7328653,10 OLD FARM RD,,WAYLAND,9/3/16,Not Discovered Yet,Not Discovered Yet,1,9/3/16,MA
7329063,10 OLD FARM RD,,WAYLAND,9/22/16,Not Discovered Yet,Not Discovered Yet,1,9/23/16,MA
7323404,10 PARK ST,,GROVELAND,2/9/16,Not Discovered Yet,Not Discovered Yet,2,2/18/16,MA
7328610,10 PEARL ST,,AYER,9/1/16,Not Discovered Yet,Not Discovered Yet,1,9/1/16,MA
7326381,10 PERCIVAL ST,,DORCHESTER,6/9/16,Not Discovered Yet,Not Discovered Yet,1,6/15/16,MA
7325246,10 PIEDMONT ST,,LYNN,5/2/16,Not Discovered Yet,Not Discovered Yet,2,5/11/16,MA
7323120,10 PIGEON HILL RD,,WESTON,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/2/16,MA
7330669,10 PIGEON HILL RD,,WESTON,12/13/16,Not Discovered Yet,Not Discovered Yet,1,12/13/16,MA
7324384,10 PILGRIM RD,,QUINCY,3/30/16,Not Discovered Yet,Not Discovered Yet,2,5/11/16,MA
7324555,10 PINE ST,,MANCHESTER,4/12/16,Not Discovered Yet,Not Discovered Yet,1,4/12/16,MA
7325493,10 PINE ST,,MANCHESTER,5/12/16,Not Discovered Yet,Not Discovered Yet,1,5/12/16,MA
7323847,10 PLAINFIELD ST,,JAMAICA PLAIN,3/7/16,Not Discovered Yet,Not Discovered Yet,2A,3/10/16,MA
7325447,10 POCAHONTAS WAY,,LYNNFIELD,5/11/16,Not Discovered Yet,Not Discovered Yet,1,5/11/16,MA
7323447,10 POND ST,,WHITMAN,2/17/16,Not Discovered Yet,Not Discovered Yet,1,2/17/16,MA
7328707,10 POWDER HOUSE TER,,MEDFORD,9/7/16,Not Discovered Yet,Not Discovered Yet,1,9/7/16,MA
7325673,10 RAILROAD ST,,ABINGTON,5/18/16,Not Discovered Yet,Not Discovered Yet,1,5/18/16,MA
7323103,10 REVERE AVE,,LYNN,1/21/16,Not Discovered Yet,Not Discovered Yet,2A,2/22/16,MA
7325573,10 ROSSETER ST,,DORCHESTER,5/10/16,Not Discovered Yet,Not Discovered Yet,2,7/26/16,MA
7325096,10 SHERWOOD RD,,HINGHAM,4/29/16,Not Discovered Yet,Not Discovered Yet,1,4/29/16,MA
7329747,10 STILES DR,,PEABODY,10/18/16,Not Discovered Yet,Not Discovered Yet,2,11/23/16,MA
7329880,10 TREMONT ST,,BOSTON,10/31/16,Not Discovered Yet,Not Discovered Yet,1,11/4/16,MA
7329228,10 VALLEY BEACH AVE,,HULL,9/29/16,Not Discovered Yet,Not Discovered Yet,1,9/29/16,MA
7328427,10 VARNEY ST,,SALEM,8/25/16,Not Discovered Yet,Not Discovered Yet,1,8/26/16,MA
7324488,10 VILLAGE RD,,MIDDLETON,4/8/16,Not Discovered Yet,Not Discovered Yet,1,4/8/16,MA
7325684,10 WALES ST,,DORCHESTER,5/18/16,Not Discovered Yet,Not Discovered Yet,1,5/18/16,MA
7328864,10 WIGGLESWORTH ST,,ROXBURY,9/8/16,Not Discovered Yet,Not Discovered Yet,2,10/5/16,MA
