ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
94509,8 LANE PK ,BRI ,,7/31/95,3
94539,BOSTON POST RD ,WES ,,8/15/95,3
94564,973 BLUE HILL AV ,DOR ,,8/21/95,3
94605,490 WORCESTER TPKE ,WEL ,,11/29/93,3
94636,WOLLASTON TER ,DOR ,,9/14/95,3
95558,137 MAIN ST ,MAL ,WIGGLESWORTH ST ,1/14/96,3
96297,84 LYNNFIELD ST ,PEA ,JOHNSON AV ,1/24/96,3
96528,377 RALPH TALBOT ST ,WEY ,,12/20/95,3
97020,10 PEQUOT RD ,PEA ,,3/4/96,3
97390,143 MAIN ST ,RDG ,,4/17/96,3
97810,6 SHACKFORD RD ,RDG ,,4/30/96,3
97813,323 SOUTH ST ,RDG ,,5/1/96,3
97814,362 SOUTH ST ,RDG ,,5/1/96,3
97866,41 PRESCOTT ST ,RDG ,,5/7/96,3
97868,171 PRESCOTT ST ,RDG ,,5/7/96,3
98018,BRIDGE ST ,WEY ,HARBOR VIEW AV ,4/19/96,3
98053,591 POND ST ,WEY ,SEA CAPTAINS WY ,4/23/96,3
98148,109 BARTLETT ST ,Somerville,,5/9/96,3
98251,246 WOBURN ST ,RDG ,,5/14/96,3
98477,238 LYNNFIELD ST ,LNN ,,5/15/96,3
98553,104 MIDDLE ST ,LEO ,,5/8/96,3
98741,38 ROBINSON AV ,BRA ,,5/16/96,3
98781,20 KINGSBORO PK ,JPL ,,5/24/96,3
98783,62 WYMAN ST ,JPL ,,5/23/96,3
98865,28 STONE AV ,Winchester,,5/28/96,3
98893,31 WALDEN ST ,JPL ,,5/29/96,3
99022,63 WALNUT ST ,LEO ,,5/29/96,3
99212,11 SHERWOOD RD ,Winchester,,6/5/96,3
99449,CUTTING ST ,Winchester,MYSTIC AV ,6/10/96,3
99450,29 EAST ST ,Winchester,,6/12/96,3
99513,WILLIAMS ST ,JPL ,STEDMAN ST ,6/13/96,3
99520,55 GLEN RD ,JPL ,,6/14/96,2
99725,CAMBRIDGE ST ,Winchester,CALUMET RD ,6/17/96,3
99727,39 SWANTON ST ,Winchester,,6/17/96,3
99746,1705 COMMONWEALTH AV ,BRI ,,6/17/96,3
99842,ROSE AV ,MAR ,WARE LN ,6/11/96,3
99866,19 CLEVELAND RD ,MAR ,,6/7/96,3
99871,131 ATLANTIC AV ,MAR ,OCEAN AV ,6/7/96,3
100038,94 CHURCH ST ,Winchester,,6/21/96,3
100109,1786 TRAPELO RD ,WAL ,,6/21/96,3
100143,233 BROADWAY ,SAU ,,5/23/96,3
100193,9 CARTER ST ,NEW ,,3/15/96,3
100268,22 PHILIP RD ,LEX ,,6/12/96,3
100401,8 SALISBURY ST ,Winchester,,6/27/96,3
100534,81 KEYSTONE DR ,LEO ,,6/20/96,3
100579,MAIN ST ,Winchester,CHESTNUT ST ,7/3/96,3
100650,114 FLETCHER RD ,BEL ,,6/27/96,3
100696,MARLBORO ST ,NEW ,TREMONT ST ,6/18/96,3
100700,CHURCH ST ,NEW ,WAVERLY AV ,6/10/96,3
100709,949 CENTRE ST ,NEW ,,4/26/96,3
100786,25 SOUTH ST ,JPL ,,7/1/96,3
100795,105 WALK HILL ST ,JPL ,,7/2/96,3
100804,CABOT ST ,NEW ,WESTCHESTER RD ,6/27/96,3
100862,SECOND ST ,EVE ,CABOT ST ,7/9/96,3
101032,ATLANTIC AV ,COH ,MEADOW LN ,6/10/96,3
101135,304 MARSH ST ,BEL ,,7/10/96,3
101282,BROADWAY ,SAU ,BOW ST ,7/17/96,3
101641,60 SUFFOLK ST ,CHE ,,7/25/96,3
101709,MALTA ST ,HUL ,SAMOSET AV ,7/18/96,3
101768,210 CONCORD RD ,Sudbury,,7/18/96,3
101817,91 NEWPORT RD ,HUL ,,7/23/96,3
101854,59 ABINGTON ST ,Hingham,,7/30/96,3
102034,40 WALNUT ST ,LNF ,,7/22/96,3
102872,169 COMMERCIAL ST ,BRA ,,8/9/96,3
102967,WHITTIER ST ,LNN ,,8/21/96,3
102977,19 ABBOTT ST ,LNN ,,8/26/96,3
103050,41 CALLENDER ST ,DOR ,LAURIAT ST ,8/27/96,3
103136,89R GREEN ST ,ROC ,,8/30/96,3
103148,PEARL ST ,BRA ,,8/15/96,3
103160,32 GROVE ST ,ROC ,,8/15/96,3
103161,23 GROVE ST ,ROC ,,8/15/96,3
103165,344 CENTRE AV ,ROC ,,8/14/96,3
103175,80 BEECH ST ,ROC ,,8/7/96,3
103178,292 SPRING ST ,ROC ,,8/7/96,3
103179,214 BEECH ST ,ROC ,,8/7/96,3
103180,354 SPRING ST ,ROC ,,8/7/96,3
103181,41 PIERCE RD ,ROC ,,8/7/96,3
103183,320 LEVIN RD ,ROC ,,8/7/96,3
103276,75 ELM ST ,WOB ,,8/30/96,3
103289,28 CONGRESS ST ,Stoneham,,8/29/96,3
103515,65 WEBSTER ST ,ARL ,,8/26/96,3
103615,55 W BROADWAY ,SBO ,,9/4/96,3
103643,645 HAMMOND ST ,BRO ,,9/5/96,3
103645,106 CUMMINGS PK ,WOB ,,9/5/96,3
103717,OXFORD ST ,LNN ,HIGH ST ,9/4/96,3
103735,265 PARK ST ,DOR ,,9/5/96,3
103783,31 WALNUT ST ,ARL ,,9/6/96,3
103916,E MAIN ST ,WEB ,,9/6/96,3
103933,329 MONTVALE AV ,WOB ,,9/9/96,3
103964,276 CLYDE ST ,BRO ,,9/6/96,3
103965,139 NEWTON ST ,BRO ,,9/6/96,3
103972,88 SANING RD ,WEY ,,9/10/96,3
103975,1745 COMMERCIAL ST ,WEY ,,9/10/96,3
103977,830 NANTASKET AV ,HUL ,,9/9/96,3
103979,6 CUSHING ST ,HUL ,,9/6/96,3
104003,10 SUTTON ST ,WEY ,,9/11/96,3
104011,ESSEX ST ,BRO ,IVY ,9/12/96,3
104026,58 SEARS AV ,MEL ,,9/12/96,3
104029,40 WARWICK RD ,MEL ,,9/12/96,3
104136,8 REV RICHARD A BURKE ST ,SBO ,,9/12/96,3
104190,12 GREENWOOD LN ,ACT ,,9/12/96,3
104202,1658 BEACON ST ,BRO ,,9/16/96,3
104282,599 WALNUT ST ,LNN ,,9/5/96,3
104284,666 WALNUT ST ,LNN ,,9/5/96,3
104287,5 MARGIN ST ,LNN ,,9/11/96,3
