ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
282,191 HIXVILLE,DARTMOUTH,,7/7/14,2
283,15 LOUTHAN-KIRBY,DARTMOUTH,,7/10/14,1
284,2 SETH-DAVIS,DARTMOUTH,,7/10/14,1
285,80 PROSPECT,DARTMOUTH,,7/17/14,2
286,CROSS,DARTMOUTH,,7/19/14,1
287,51 BEVERLY,DARTMOUTH,,7/29/14,2
288,11 MEADOWOOD,DARTMOUTH,,7/30/14,1
289,285 OLD-WESTPORT,DARTMOUTH,,8/4/14,2
290,FREMONT,DARTMOUTH,AT PLEASANT ST,8/25/14,1
291,PLEASANT,DARTMOUTH,AT FREEMONT ST,9/4/14,
292,PROSPECT,DARTMOUTH,AT ADAMS ST,9/4/14,
293,8 CHAMPION,DARTMOUTH,,9/11/14,
294,7 MEADOWOOD,DARTMOUTH,,9/15/14,
295,531 FAUNCE-CORNER,DARTMOUTH,,9/16/14,1
296,354 ELM,DARTMOUTH,,9/19/14,2
297,128 ROCKLAND,DARTMOUTH,,9/19/14,2
298,107 ROCKLAND,DARTMOUTH,,10/3/14,2
299,111 RUSSELL-MILLS,DARTMOUTH,,10/17/14,2
300,80 PROSPECT,DARTMOUTH,,10/17/14,2
301,116 STACKHOUSE,DARTMOUTH,,11/3/14,2
302,103 PROSPECT,DARTMOUTH,,11/14/14,2
303,61 PROSPECT,DARTMOUTH,,11/19/14,2
304,59 GIFFORD,DARTMOUTH,,11/30/14,1
305,20 SCHOONER,DARTMOUTH,,12/4/14,1
306,185 CROSS,DARTMOUTH,,12/8/14,2
307,54 CAPTAINS,DARTMOUTH,,12/11/14,2
308,68 STOUGHTON,DEDHAM,,1/3/14,2
309,124 TOWER,DEDHAM,,1/9/14,2
310,TOWER,DEDHAM,AT SYCAMORE ST,1/14/14,2
311,142 CURVE,DEDHAM,,1/23/14,2
312,20 HARDING,DEDHAM,,1/23/14,1
313,122-126 RIVER,DEDHAM,,1/24/14,2
314,BUSSEY,DEDHAM,AT COLBURN ST,1/29/14,2
315,111 RIVER,DEDHAM,,1/30/14,2
316,111 RIVER,DEDHAM,,1/31/14,2
317,12 MAVERICK,DEDHAM,,2/11/14,1
318,122-126 RIVER,DEDHAM,,2/15/14,2
319,RIVERSIDE,DEDHAM,AT WHITING AVE EXT,2/15/14,1
320,251-253 COLBURN,DEDHAM,,2/19/14,1
321,RIVERSIDE,DEDHAM,AT SAMOSET,2/22/14,1
322,123 BRIDGE,DEDHAM,,2/24/14,2
323,119 PACELLA,DEDHAM,,2/18/14,1
324,119 PACELLA,DEDHAM,,2/20/14,2
325,71 EMMETT,DEDHAM,,3/7/14,2
326,63 MARLBORO,DEDHAM,,3/7/14,2
327,61 VOLK,DEDHAM,,3/10/14,2
328,21 LAKESIDE,DEDHAM,,3/11/14,1
329,234-286 BUSSEY,DEDHAM,,3/12/14,2
330,OAKDALE,DEDHAM,AT FAIRVIEW ST,3/12/14,1
331,11 BOW,DEDHAM,,3/14/14,2
332,53-59 CURVE,DEDHAM,,3/14/14,1
333,28 LEE,DEDHAM,,3/19/14,1
334,61 PACELLA,DEDHAM,,3/21/14,1
335,115 RIVERSIDE,DEDHAM,,3/26/14,2
336,137 BUSSEY,DEDHAM,,4/7/14,1
337,117 ALDEN,DEDHAM,,4/9/14,2
338,15 LINDALE,DEDHAM,,4/9/14,2
339,888 WASHINGTON,DEDHAM,,4/18/14,2
340,11 PACELLA,DEDHAM,,4/18/14,1
341,24 FAIR-OAK,DEDHAM,,4/24/14,2
342,191 CURVE,DEDHAM,,4/24/14,1
343,81 VIOLET,DEDHAM,,4/30/14,2
344,52 MASSACHUSETTS,DEDHAM,,5/7/14,2
345,474 WASHINGTON,DEDHAM,,5/7/14,2
346,119 AMES,DEDHAM,,5/12/14,2
347,38 BULLARD,DEDHAM,,5/19/14,1
348,15 LINDALE,DEDHAM,,5/21/14,2
349,2 LEE,DEDHAM,,5/27/14,2
350,120 ALDEN,DEDHAM,,6/4/14,2
351,43 VIOLET,DEDHAM,,6/4/14,2
352,143 CURVE,DEDHAM,,6/6/14,2
353,DALE,DEDHAM,,6/11/14,2
354,CURVE,DEDHAM,AT OAK ST,6/19/14,2
355,20 CHARLESBANK,DEDHAM,,6/24/14,2
356,52 OAK,DEDHAM,,6/27/14,2
357,BROOKDALE,DEDHAM,AT EAST ST,7/7/14,1
358,158 QUINCY,DEDHAM,,7/17/14,1
359,26 LOWDER,DEDHAM,,7/22/14,2
360,45-55 LOWDER,DEDHAM,,7/22/14,2
361,11 CHUTE,DEDHAM,,8/1/14,2
362,DALE,DEDHAM,AT 66 BORDER ST,8/5/14,2
363,72 BEECH,DEDHAM,,8/8/14,2
364,53-59 CURVE,DEDHAM,,8/8/14,2
365,41 DIXON,DEDHAM,,8/8/14,2
366,41 DIXON,DEDHAM,,8/21/14,1
367,2 LEE,DEDHAM,,8/25/14,2
368,8 CASS,DEDHAM,,8/25/14,2
369,42 MASSACHUSETTS,DEDHAM,,8/26/14,2
370,22-24 CHURCH,DEDHAM,,9/2/14,2
371,16 LEE,DEDHAM,,9/3/14,2
372,62 CURVE,DEDHAM,,9/4/14,2
373,1 JUNIPER,DEDHAM,,9/5/14,
374,NEEDHAM,DEDHAM,,9/8/14,
375,20 CHARLESBANK,DEDHAM,,9/8/14,
376,37 KIELY,DEDHAM,,9/8/14,
377,42718 CHURCH,DEDHAM,,9/9/14,
378,98 CURVE,DEDHAM,,9/10/14,
379,29 SPRAGUE,DEDHAM,,9/11/14,
380,39 DALE,DEDHAM,,9/16/14,2
381,39 DALE,DEDHAM,,9/16/14,2
382,20 MAVERICK,DEDHAM,,9/18/14,2
383,RIVERSIDE,DEDHAM,AT VINE ROAD ST,9/23/14,1
384,168 AMES,DEDHAM,,9/25/14,2
385,53 CURVE,DEDHAM,,9/26/14,2
386,LEE,DEDHAM,,9/29/14,2
387,ORCHARD,DEDHAM,,9/29/14,2
388,15 OHIO,DEDHAM,,10/2/14,2
389,73 BEECH,DEDHAM,,10/3/14,2
390,49 AMES,DEDHAM,,10/6/14,2
391,103 JEFFERSON,DEDHAM,,10/8/14,1
392,694 WASHINGTON,DEDHAM,,10/13/14,1
393,28-30 HARDING,DEDHAM,,10/17/14,1
394,QUINCY,DEDHAM,AT WINTHROP ST,10/20/14,2
395,347 MOUNT VERNON,DEDHAM,,10/26/14,1
396,172 HIGH,DEDHAM,,10/28/14,1
397,277 COURT,DEDHAM,,2/11/14,2
398,GRANT,DEDHAM,AT ELMWOOD,11/4/14,2
399,12 PARSONS,DEDHAM,,11/6/14,2
400,901 HIGH,DEDHAM,,11/10/14,2
401,80 BIRCH,DEDHAM,,11/19/14,2
402,133 CURVE,DEDHAM,,11/20/14,2
403,20 CHESTER,DEDHAM,,11/21/14,2
404,287 COURT,DEDHAM,,11/21/14,2
405,315 GREENLODGE,DEDHAM,,11/25/14,2
406,37-39 MYRTLE,DEDHAM,,11/26/14,2
407,37-39 MYRTLE,DEDHAM,,11/28/14,1
408,156 BUSSEY,DEDHAM,,12/1/14,2
409,1 MAGENNIS,DEDHAM,,12/2/14,2
