ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
234703,25 SAGAMORE PK ,MED ,,11/14/14,2, OTHER
234703,25 SAGAMORE PK ,MED ,,11/14/14,2, OTHER
235155,10 PLEASANT ST ,LNN ,,7/13/14,2, MATL OR WELD FAILURE
235155,10 PLEASANT ST ,LNN ,,7/13/14,2, MATL OR WELD FAILURE
235197,25 MIDDLESEX ST ,WOB ,,10/31/14,2, CORROSION
235197,25 MIDDLESEX ST ,WOB ,,10/31/14,2, CORROSION
235197,25 MIDDLESEX ST ,WOB ,,10/31/14,2, OTHER
235197,25 MIDDLESEX ST ,WOB ,,10/31/14,2, OTHER
235405,10 PLYMOUTH RD ,BRA ,,12/27/14,2, CORROSION
235405,10 PLYMOUTH RD ,BRA ,,12/27/14,2, CORROSION
235720,350 WASHINGTON ST ,LNN ,,12/2/14,, OTHER
235720,350 WASHINGTON ST ,LNN ,,12/2/14,, OTHER
236010,7 HOWARD ST ,LNN ,,6/30/14,2, OTHER
236010,7 HOWARD ST ,LNN ,,6/30/14,2, OTHER
236235,FRANKLIN ST ,QUI ,SCHOOL ST ,12/12/14,2, CORROSION
236235,FRANKLIN ST ,QUI ,SCHOOL ST ,12/12/14,2, CORROSION
236235,FRANKLIN ST ,QUI ,SCHOOL ST ,12/12/14,2, CORROSION
236235,FRANKLIN ST ,QUI ,SCHOOL ST ,12/12/14,2, CORROSION
236899,678 BROADWAY ,CHE ,,9/4/14,2, OTHER
236899,678 BROADWAY ,CHE ,,9/4/14,2, OTHER
239454,161 EASTERN AV ,LNN ,COLUMBIA AV ,6/30/14,, CORROSION
239454,161 EASTERN AV ,LNN ,COLUMBIA AV ,6/30/14,, CORROSION
239454,161 EASTERN AV ,LNN ,COLUMBIA AV ,6/30/14,, CORROSION
239454,161 EASTERN AV ,LNN ,COLUMBIA AV ,6/30/14,, CORROSION
239604,150 CHARLES ST ,BOS ,,12/9/14,2, MATL OR WELD FAILURE
239604,150 CHARLES ST ,BOS ,,12/9/14,2, MATL OR WELD FAILURE
240427,55 CHESTER ST ,WNC ,,9/4/14,3, OTHER
240427,55 CHESTER ST ,WNC ,,9/4/14,3, OTHER
240427,55 CHESTER ST ,WNC ,,9/4/14,3, OTHER
240427,55 CHESTER ST ,WNC ,,9/4/14,3, OTHER
241796,15 OAKLAND AV ,SOM ,,7/7/14,2, CORROSION
241796,15 OAKLAND AV ,SOM ,,7/7/14,2, CORROSION
241855,6 HANCOCK ST ,BEV ,,11/6/14,, MATL OR WELD FAILURE
241855,6 HANCOCK ST ,BEV ,,11/6/14,, MATL OR WELD FAILURE
241855,6 HANCOCK ST ,BEV ,,11/6/14,, MATL OR WELD FAILURE
241855,6 HANCOCK ST ,BEV ,,11/6/14,, MATL OR WELD FAILURE
243170,50 COLON ST ,BEV ,DEARBORN AV ,11/7/14,2, CORROSION
243170,50 COLON ST ,BEV ,DEARBORN AV ,11/7/14,2, CORROSION
252004,31 MILL ST ,BRK ,,12/2/14,2, CORROSION
252004,31 MILL ST ,BRK ,,12/2/14,2, CORROSION
253766,32 LANCASTER ST ,QUI ,,12/3/14,, CORROSION
253766,32 LANCASTER ST ,QUI ,,12/3/14,, CORROSION
258604,126 WINN ST ,WOB ,,7/10/14,, CORROSION
258604,126 WINN ST ,WOB ,,7/10/14,, CORROSION
259894,61 FOREST ST ,MED ,,5/30/14,2, OTHER
259894,61 FOREST ST ,MED ,,5/30/14,2, OTHER
259894,61 FOREST ST ,MED ,,6/2/14,2, CORROSION
259894,61 FOREST ST ,MED ,,6/2/14,2, CORROSION
259894,61 FOREST ST ,MED ,,6/2/14,2, OTHER
259894,61 FOREST ST ,MED ,,6/2/14,2, OTHER
261082,9 COOLIDGE AV ,BEV ,,11/8/14,2, CORROSION
261082,9 COOLIDGE AV ,BEV ,,11/8/14,2, CORROSION
